assignment_id,strategy_profile_id,source_id,district_id,site_id,role,commitment_class,share_policy,exclusive_assignment,activation_condition,note,parameterized,legacy_label,provenance
rocky_assign_011,rocky_baseline_v1,standard_node_185,rocky_desert_a,,starter feed,active_initial,exclusive,true,,,true,A Western Coast Starter Works,rocky_desert_functional_district_assignments.csv
rocky_assign_012,rocky_baseline_v1,standard_node_338,rocky_desert_b,,coal power initial,active_initial,exclusive,true,,,true,B Northern/Coastal Coal Power,rocky_desert_functional_district_assignments.csv
rocky_assign_013,rocky_baseline_v1,standard_node_336,rocky_desert_b,,coal power initial,active_initial,exclusive,true,,,true,B Northern/Coastal Coal Power,rocky_desert_functional_district_assignments.csv
rocky_assign_014,rocky_baseline_v1,standard_node_358,rocky_desert_b,,coal power expansion,expansion_reserve,exclusive,true,,Leave impure nodes idle until power demand catches up if desired.,true,B Northern/Coastal Coal Power,rocky_desert_functional_district_assignments.csv
rocky_assign_015,rocky_baseline_v1,standard_node_357,rocky_desert_b,,coal power expansion,expansion_reserve,exclusive,true,,Leave impure nodes idle until power demand catches up if desired.,true,B Northern/Coastal Coal Power,rocky_desert_functional_district_assignments.csv
rocky_assign_016,rocky_baseline_v1,standard_node_006,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_017,rocky_baseline_v1,standard_node_007,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_018,rocky_baseline_v1,standard_node_008,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_019,rocky_baseline_v1,standard_node_370,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_020,rocky_baseline_v1,standard_node_385,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_021,rocky_baseline_v1,standard_node_371,rocky_desert_c,,steel feed,reserve,exclusive,true,,,true,C Southeast Rocky Steel Works,rocky_desert_functional_district_assignments.csv
rocky_assign_022,rocky_baseline_v1,standard_node_306,rocky_desert_d,,ordinary crude feed,reserve,exclusive,true,,,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_023,rocky_baseline_v1,standard_node_305,rocky_desert_d,,ordinary crude feed,reserve,exclusive,true,,,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_024,rocky_baseline_v1,standard_node_287,rocky_desert_d,,ordinary crude feed,reserve,exclusive,true,,,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_025,rocky_baseline_v1,standard_node_288,rocky_desert_d,,ordinary crude feed,reserve,exclusive,true,,,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_026,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_1933830510,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_027,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_2053713511,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_028,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1587984689,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_029,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1704280690,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_030,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1999134691,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_031,rocky_baseline_v1,BP_FrackingSatellite61_UAID_40B076DF2F79D9DF01_1230935868,rocky_desert_d,,resource-well crude feed,reserve,exclusive,true,,Satellites attached to BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_032,rocky_baseline_v1,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,rocky_desert_d,,well pressurizer anchor,reserve,exclusive,true,,Core produces no resource itself; satellites provide capacity.,true,D Western Beaches Petrochemical,rocky_desert_functional_district_assignments.csv
rocky_assign_033,rocky_baseline_v1,standard_node_019,rocky_desert_e,,future structural feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_034,rocky_baseline_v1,standard_node_020,rocky_desert_e,,future structural feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_035,rocky_baseline_v1,standard_node_024,rocky_desert_e,,future structural feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_036,rocky_baseline_v1,standard_node_025,rocky_desert_e,,future structural feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_037,rocky_baseline_v1,standard_node_268,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_038,rocky_baseline_v1,standard_node_204,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_039,rocky_baseline_v1,standard_node_202,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_040,rocky_baseline_v1,standard_node_203,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_041,rocky_baseline_v1,standard_node_201,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_042,rocky_baseline_v1,standard_node_214,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_043,rocky_baseline_v1,standard_node_197,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_044,rocky_baseline_v1,standard_node_186,rocky_desert_e,,future concrete/EIB feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_045,rocky_baseline_v1,BP_FrackingSatellite21,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_046,rocky_baseline_v1,BP_FrackingSatellite22,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_047,rocky_baseline_v1,BP_FrackingSatellite24,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_048,rocky_baseline_v1,BP_FrackingSatellite25,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_049,rocky_baseline_v1,BP_FrackingSatellite26,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_050,rocky_baseline_v1,BP_FrackingSatellite27,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_051,rocky_baseline_v1,BP_FrackingSatellite51_1,rocky_desert_e,,future nitrogen feed,strategic_reserve,exclusive,true,,,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_052,rocky_baseline_v1,BP_FrackingCore4,rocky_desert_e,,nitrogen pressurizer anchor,strategic_reserve,exclusive,true,,Core produces no resource itself; satellites provide capacity.,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_053,rocky_baseline_v1,standard_node_338,rocky_desert_e,,nearby/shared coal option,strategic_reserve,conditional_shared,false,,Physically nearby but initially committed to District B coal power.,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_054,rocky_baseline_v1,standard_node_336,rocky_desert_e,,nearby/shared coal option,strategic_reserve,conditional_shared,false,,Physically nearby but initially committed to District B coal power.,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_055,rocky_baseline_v1,standard_node_358,rocky_desert_e,,nearby/shared coal option,strategic_reserve,conditional_shared,false,,Physically nearby but initially committed to District B coal power.,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_056,rocky_baseline_v1,standard_node_357,rocky_desert_e,,nearby/shared coal option,strategic_reserve,conditional_shared,false,,Physically nearby but initially committed to District B coal power.,true,E Northwest HMF / Advanced Structural,rocky_desert_functional_district_assignments.csv
rocky_assign_057,rocky_baseline_v1,standard_node_452,rocky_desert_f,,bauxite feed,reserve,exclusive,true,,,true,F Southern Bauxite / Aluminum Access,rocky_desert_functional_district_assignments.csv
rocky_assign_058,rocky_baseline_v1,standard_node_453,rocky_desert_f,,bauxite feed,reserve,exclusive,true,,,true,F Southern Bauxite / Aluminum Access,rocky_desert_functional_district_assignments.csv
rocky_assign_059,rocky_baseline_v1,standard_node_442,rocky_desert_f,,bauxite feed,reserve,exclusive,true,,,true,F Southern Bauxite / Aluminum Access,rocky_desert_functional_district_assignments.csv
rocky_assign_060,rocky_baseline_v1,standard_node_316,,rocky_caterium_satellite,local processing / quickwire,satellite_default,exclusive,true,,,true,G Caterium Satellite,rocky_desert_functional_district_assignments.csv
rocky_assign_061,rocky_baseline_v1,standard_node_411,,rocky_quartz_satellite,local crystal/silica processing,satellite_default,exclusive,true,,,true,G Quartz Satellite,rocky_desert_functional_district_assignments.csv
rocky_assign_062,rocky_baseline_v1,standard_node_421,,rocky_quartz_satellite,local crystal/silica processing,satellite_default,exclusive,true,,,true,G Quartz Satellite,rocky_desert_functional_district_assignments.csv
rocky_assign_063,rocky_baseline_v1,standard_node_420,,rocky_quartz_satellite,local crystal/silica processing,satellite_default,exclusive,true,,,true,G Quartz Satellite,rocky_desert_functional_district_assignments.csv
rocky_assign_064,rocky_baseline_v1,standard_node_426,,rocky_sulfur_satellite,research/explosives; later power chain,satellite_default,exclusive,true,,,true,G Sulfur Satellite,rocky_desert_functional_district_assignments.csv
