district_phase_resource_id,district_phase_id,district_id,source_id,resource_id,baseline_mk1_rate_min,assignment_commitment_class,state,confidence,notes
rocky_a1_standard_node_018,rocky_a1,rocky_desert_a,standard_node_018,iron,60,active_initial,activate,DEFINED,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_008,,rocky_desert_c,standard_node_008,iron,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_370,,rocky_desert_c,standard_node_370,coal,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_385,,rocky_desert_c,standard_node_385,coal,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_371,,rocky_desert_c,standard_node_371,coal,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_306,,rocky_desert_d,standard_node_306,crude_oil,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_305,,rocky_desert_d,standard_node_305,crude_oil,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_287,,rocky_desert_d,standard_node_287,crude_oil,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_288,,rocky_desert_d,standard_node_288,crude_oil,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_1933830510,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_1933830510,crude_oil,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_2053713511,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_2053713511,crude_oil,30,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1587984689,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1587984689,crude_oil,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1704280690,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1704280690,crude_oil,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1999134691,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1999134691,crude_oil,30,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite61_UAID_40B076DF2F79D9DF01_1230935868,,rocky_desert_d,BP_FrackingSatellite61_UAID_40B076DF2F79D9DF01_1230935868,crude_oil,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,,rocky_desert_d,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,crude_oil,0,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_019,,rocky_desert_e,standard_node_019,iron,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_020,,rocky_desert_e,standard_node_020,iron,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_024,,rocky_desert_e,standard_node_024,iron,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_025,,rocky_desert_e,standard_node_025,iron,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_268,,rocky_desert_e,standard_node_268,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_204,,rocky_desert_e,standard_node_204,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_202,,rocky_desert_e,standard_node_202,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_203,,rocky_desert_e,standard_node_203,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_201,,rocky_desert_e,standard_node_201,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_214,,rocky_desert_e,standard_node_214,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_197,,rocky_desert_e,standard_node_197,limestone,60,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_186,,rocky_desert_e,standard_node_186,limestone,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite21,,rocky_desert_e,BP_FrackingSatellite21,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite22,,rocky_desert_e,BP_FrackingSatellite22,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite24,,rocky_desert_e,BP_FrackingSatellite24,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite25,,rocky_desert_e,BP_FrackingSatellite25,nitrogen_gas,60,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite26,,rocky_desert_e,BP_FrackingSatellite26,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite27,,rocky_desert_e,BP_FrackingSatellite27,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingSatellite51_1,,rocky_desert_e,BP_FrackingSatellite51_1,nitrogen_gas,120,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_BP_FrackingCore4,,rocky_desert_e,BP_FrackingCore4,nitrogen_gas,0,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_338,,rocky_desert_e,standard_node_338,coal,60,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_336,,rocky_desert_e,standard_node_336,coal,60,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_358,,rocky_desert_e,standard_node_358,coal,30,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_357,,rocky_desert_e,standard_node_357,coal,30,strategic_reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_452,,rocky_desert_f,standard_node_452,bauxite,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_453,,rocky_desert_f,standard_node_453,bauxite,120,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
unmapped_standard_node_442,,rocky_desert_f,standard_node_442,bauxite,60,reserve,available_or_reserved,PLACEHOLDER,Activation phase inferred from existing commitment class; overridable.
