poi_id,cost_type,item,amount,requirement_source,notes
poi_502094_0049,EFGDropPodUnlockCostType::Item,Desc_Plastic_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0050,EFGDropPodUnlockCostType::Item,Desc_ElectromagneticControlRod_C,43,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0051,EFGDropPodUnlockCostType::Item,Desc_ElectromagneticControlRod_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0052,EFGDropPodUnlockCostType::Item,Desc_SteelPlate_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0053,EFGDropPodUnlockCostType::Item,Desc_SteelPlate_C,130,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0054,EFGDropPodUnlockCostType::Item,Desc_HighSpeedConnector_C,35,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0055,EFGDropPodUnlockCostType::Item,Desc_CopperSheet_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0056,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0057,EFGDropPodUnlockCostType::Item,Desc_Rotor_C,21,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0058,EFGDropPodUnlockCostType::Item,Desc_MotorLightweight_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0059,,Desc_IronScrew_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0060,EFGDropPodUnlockCostType::Item,Desc_Computer_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0061,EFGDropPodUnlockCostType::Item,Desc_CopperSheet_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0062,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0063,EFGDropPodUnlockCostType::Item,Desc_IronScrew_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0064,EFGDropPodUnlockCostType::Item,Desc_CrystalOscillator_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0065,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0066,EFGDropPodUnlockCostType::Item,Desc_CopperSheet_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0067,EFGDropPodUnlockCostType::Item,Desc_ModularFrameHeavy_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0068,EFGDropPodUnlockCostType::Item,Desc_ModularFrameFused_C,12,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0069,EFGDropPodUnlockCostType::Item,Desc_Plastic_C,20,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0070,,Desc_CrystalOscillator_C,2,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0071,EFGDropPodUnlockCostType::Item,Desc_MotorLightweight_C,25,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0072,EFGDropPodUnlockCostType::Item,Desc_ModularFrameHeavy_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0073,EFGDropPodUnlockCostType::Item,Desc_CircuitBoard_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0074,EFGDropPodUnlockCostType::Item,Desc_QuartzCrystal_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0075,,Desc_ModularFrame_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0076,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0077,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0078,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0079,EFGDropPodUnlockCostType::Item,Desc_QuantumOscillator_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0080,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0081,EFGDropPodUnlockCostType::Item,Desc_HighSpeedWire_C,38,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0082,EFGDropPodUnlockCostType::Item,Desc_IronPlateReinforced_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0083,EFGDropPodUnlockCostType::Item,Desc_QuartzCrystal_C,2,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0084,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0085,EFGDropPodUnlockCostType::Item,Desc_Silica_C,60,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0086,EFGDropPodUnlockCostType::Item,Desc_CrystalOscillator_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0087,EFGDropPodUnlockCostType::Item,Desc_CoolingSystem_C,30,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0088,,Desc_AluminumPlateReinforced_C,7,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0089,EFGDropPodUnlockCostType::Item,Desc_AluminumPlateReinforced_C,12,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0090,EFGDropPodUnlockCostType::Item,Desc_ModularFrame_C,5,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0091,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0092,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0093,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0094,EFGDropPodUnlockCostType::Power,Desc_CrystalOscillator_C,8,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0095,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0096,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0097,EFGDropPodUnlockCostType::Power,Desc_SteelPlateReinforced_C,3,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0098,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0099,EFGDropPodUnlockCostType::Power,Desc_MotorLightweight_C,2,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0100,EFGDropPodUnlockCostType::Item,Desc_Rotor_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0101,,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0102,EFGDropPodUnlockCostType::Power,Desc_Rotor_C,1,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0103,EFGDropPodUnlockCostType::Power,Desc_IronScrew_C,15,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0104,EFGDropPodUnlockCostType::Power,Desc_Motor_C,2,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0105,EFGDropPodUnlockCostType::Power,Desc_IronScrew_C,12,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0106,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0107,EFGDropPodUnlockCostType::Power,Desc_Computer_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0108,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0109,EFGDropPodUnlockCostType::Power,Desc_Rubber_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0110,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0111,EFGDropPodUnlockCostType::Power,Desc_ComputerSuper_C,7,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0112,EFGDropPodUnlockCostType::Power,Desc_Rubber_C,10,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0113,EFGDropPodUnlockCostType::Power,Desc_SteelPlate_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0114,EFGDropPodUnlockCostType::Power,,,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0115,EFGDropPodUnlockCostType::Power,Desc_Rotor_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0116,EFGDropPodUnlockCostType::Power,Desc_Rotor_C,3,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0117,EFGDropPodUnlockCostType::Power,Desc_Rotor_C,4,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
poi_502094_0118,EFGDropPodUnlockCostType::Item,Desc_ModularFrame_C,6,map actor mUnlockCost,cost_type null means the actor did not serialize it; preserve null rather than infer.
