poi_id,hazard_json,hazard_source,inference_not_placement
poi_502094_0012,"{""nearest_gas_cm"":876.1,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0013,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1076.8,""nearest_uranium_cm"":1111.3,""nearest_nuclear_hog_spawner_cm"":1076.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0014,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2,""Desc_HogNuclear_C"":1,""Desc_SpitterForest_Alpha_C"":1},""spawns_here"":[""Desc_HogBasic_C""],""nearest_hostile_cm"":450.9,""nearest_nuclear_hog_spawner_cm"":1059.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0016,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":2},""spawns_here"":[""Desc_HogNuclear_C""],""nearest_hostile_cm"":771.3,""nearest_uranium_cm"":472.4,""nearest_nuclear_hog_spawner_cm"":771.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0017,"{""nearest_gas_cm"":3566.5,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0018,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""spawns_here"":[""Desc_HogNuclear_C""],""nearest_hostile_cm"":697.3,""nearest_gas_cm"":2016.9,""nearest_gas_class"":""BP_SporeFlower_C"",""nearest_nuclear_hog_spawner_cm"":697.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0019,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Desc_SpitterForest_Alpha_C"":2},""nearest_hostile_cm"":2260.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0020,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":2},""nearest_hostile_cm"":1972.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0021,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1,""Desc_SpitterForest_Alpha_C"":1},""nearest_hostile_cm"":3000.9,""nearest_nuclear_hog_spawner_cm"":3000.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0022,"{""nearest_gas_cm"":477.2,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0023,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":801.8,""nearest_uranium_cm"":1397.7,""nearest_nuclear_hog_spawner_cm"":801.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0024,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_HogBasic_C"":3},""spawns_here"":[""Desc_HogBasic_C""],""nearest_hostile_cm"":898.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0025,"{""hostiles_nearby"":{""Desc_HogBasic_C"":1,""Desc_SpitterForest_Small_C"":2},""nearest_hostile_cm"":734.2,""nearest_gas_cm"":3009.6,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0026,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":1293.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0027,"{""hostiles_nearby"":{""Desc_HogCliff_C"":1},""nearest_hostile_cm"":3355.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0028,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Alpha_C"":1},""nearest_hostile_cm"":756.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0029,"{""nearest_gas_cm"":946.7,""nearest_gas_class"":""BP_GasPillar_02_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0030,"{""hostiles_nearby"":{""Desc_SpitterForest_Alpha_C"":1},""nearest_hostile_cm"":2205.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0031,"{""hostiles_nearby"":{""Desc_HogCliff_C"":2},""nearest_hostile_cm"":1218.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0033,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1},""nearest_hostile_cm"":838.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0034,"{""nearest_gas_cm"":1099.4,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0035,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Small_C"":3},""spawns_here"":[""Desc_SpitterAquatic_Small_C""],""nearest_hostile_cm"":1371.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0036,"{""hostiles_nearby"":{""Desc_HogCliff_C"":1},""nearest_hostile_cm"":3719.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0037,"{""hostiles_nearby"":{""Desc_StingerSmall_C"":4},""nearest_hostile_cm"":3527.1,""nearest_gas_cm"":827.1,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0038,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Small_C"":2},""nearest_hostile_cm"":1575.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0039,"{""nearest_gas_cm"":1358.6,""nearest_gas_class"":""BP_VolumeGas_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0040,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1562.9,""nearest_uranium_cm"":446.6,""nearest_nuclear_hog_spawner_cm"":1562.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0041,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":3},""nearest_hostile_cm"":2569.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0042,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1,""Desc_SpitterForest_Red_Alpha_C"":2},""spawns_here"":[""Desc_SpitterForest_Red_Alpha_C""],""nearest_hostile_cm"":242.7,""nearest_gas_cm"":3245.7,""nearest_gas_class"":""BP_VolumeGas_01_C"",""nearest_nuclear_hog_spawner_cm"":2119.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0043,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_Red_C"":1},""nearest_hostile_cm"":4620.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0044,"{""nearest_gas_cm"":1469.3,""nearest_gas_class"":""BP_VolumeGas_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0045,"{""hostiles_nearby"":{""Desc_SpitterDesert_Alpha_C"":1,""Desc_SpitterDesert_Small_C"":1},""nearest_hostile_cm"":3104.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0046,"{""nearest_gas_cm"":791.3,""nearest_gas_class"":""BP_GasPillar_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0047,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterDesert_Small_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1742.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0048,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Alpha_C"":1},""nearest_hostile_cm"":1245.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0049,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_SpitterDesert_Alpha_C"":1},""nearest_hostile_cm"":886.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0050,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1623.3,""nearest_uranium_cm"":1506.8,""nearest_nuclear_hog_spawner_cm"":1623.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0051,"{""hostiles_nearby"":{""Desc_SpitterForest_Red_Alpha_C"":2},""nearest_hostile_cm"":3605.8,""nearest_uranium_cm"":600.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0053,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":2991.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0054,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1406.7,""nearest_gas_cm"":3215.8,""nearest_gas_class"":""BP_SporeFlower_C"",""nearest_uranium_cm"":1135.6,""nearest_nuclear_hog_spawner_cm"":1406.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0055,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":2},""nearest_hostile_cm"":1089.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0056,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1},""nearest_hostile_cm"":1013.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0057,"{""hostiles_nearby"":{""Desc_HogBasic_C"":3},""nearest_hostile_cm"":1220.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0058,"{""hostiles_nearby"":{""Desc_StingerElite_C"":1},""nearest_hostile_cm"":545.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0059,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":908.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0060,"{""nearest_gas_cm"":2630.7,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0061,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""nearest_hostile_cm"":2768.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0063,"{""hostiles_nearby"":{""Desc_SpitterDesert_Small_C"":1},""nearest_hostile_cm"":669.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0064,"{""nearest_gas_cm"":869.8,""nearest_gas_class"":""BP_VolumeGas_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0065,"{""hostiles_nearby"":{""Desc_SpitterForest_Alpha_C"":1},""nearest_hostile_cm"":746.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0066,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_HogAlpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1273.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0067,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":4,""Desc_HogCliff_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":669.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0068,"{""hostiles_nearby"":{""Desc_SpitterDesert_Alpha_C"":3},""nearest_hostile_cm"":1320.6,""nearest_gas_cm"":3407.1,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0069,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":3},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":718.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0070,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":2294.8,""nearest_nuclear_hog_spawner_cm"":2294.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0071,"{""hostiles_nearby"":{""Desc_StingerAlpha_C"":1,""Desc_StingerElite_C"":1},""nearest_hostile_cm"":3998.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0072,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_SpitterForest_Red_Alpha_C"":1,""Desc_StingerSmall_C"":4},""nearest_hostile_cm"":944.8,""nearest_uranium_cm"":2257.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0073,"{""hostiles_nearby"":{""Desc_StingerAlpha_C"":1},""nearest_hostile_cm"":1332.7,""nearest_gas_cm"":810.3,""nearest_gas_class"":""BP_VolumeGas_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0074,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterForest_Red_Alpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":679.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0075,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""spawns_here"":[""Desc_HogBasic_C""],""nearest_hostile_cm"":505.0,""nearest_gas_cm"":4307.5,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0076,"{""nearest_gas_cm"":942.8,""nearest_gas_class"":""BP_GasPillar_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0077,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""spawns_here"":[""Desc_HogBasic_C""],""nearest_hostile_cm"":1388.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0078,"{""hostiles_nearby"":{""Desc_SpitterForest_Alpha_C"":1},""nearest_hostile_cm"":2066.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0079,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":2,""Desc_HogNuclear_C"":1,""Desc_SpitterForest_Alpha_C"":1},""nearest_hostile_cm"":722.9,""nearest_nuclear_hog_spawner_cm"":722.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0080,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Desc_HogCliff_C"":2,""Desc_HogNuclear_C"":2},""nearest_hostile_cm"":1664.5,""nearest_uranium_cm"":473.4,""nearest_nuclear_hog_spawner_cm"":1664.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0082,"{""hostiles_nearby"":{""Desc_SpitterDesert_Alpha_C"":1,""Desc_SpitterDesert_Small_C"":1},""nearest_hostile_cm"":2116.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0083,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_HogBasic_C"":3},""nearest_hostile_cm"":705.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0085,"{""hostiles_nearby"":{""Desc_HogCliff_C"":1,""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1966.6,""nearest_nuclear_hog_spawner_cm"":1966.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0086,"{""hostiles_nearby"":{""Desc_HogCliff_C"":2,""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":1733.9,""nearest_uranium_cm"":867.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0087,"{""hostiles_nearby"":{""Desc_HogCliff_C"":4,""Desc_SpitterForest_Alpha_C"":1},""spawns_here"":[""Desc_HogCliff_C""],""nearest_hostile_cm"":1303.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0088,"{""nearest_gas_cm"":876.1,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0089,"{""hostiles_nearby"":{""Desc_StingerElite_C"":2},""nearest_hostile_cm"":3524.6,""nearest_gas_cm"":986.5,""nearest_gas_class"":""BP_VolumeGas_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0090,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":1},""spawns_here"":[""Desc_SpitterForest_Small_C""],""nearest_hostile_cm"":946.3,""nearest_gas_cm"":3917.4,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0091,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterAquatic_Alpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1086.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0092,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Alpha_C"":2},""nearest_hostile_cm"":1527.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0093,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_HogBasic_C"":3},""spawns_here"":[""Desc_HogBasic_C""],""nearest_hostile_cm"":964.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0094,"{""hostiles_nearby"":{""Desc_SpitterForest_Alpha_C"":1,""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":2337.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0095,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":2282.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0096,"{""hostiles_nearby"":{""Desc_StingerElite_C"":2},""nearest_hostile_cm"":3966.2,""nearest_gas_cm"":1981.9,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0097,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":4,""Desc_SpitterForest_Small_C"":2},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1173.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0098,"{""nearest_gas_cm"":868.5,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0099,"{""hostiles_nearby"":{""Desc_StingerElite_C"":2,""Desc_StingerSmall_C"":3},""spawns_here"":[""Desc_StingerAlpha_C"",""Desc_StingerSmall_C""],""nearest_hostile_cm"":1393.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0100,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1},""nearest_hostile_cm"":1197.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0101,"{""nearest_gas_cm"":1696.1,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0102,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_HogCliff_C"":1,""Desc_SpitterAquatic_Small_C"":2},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1888.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0103,"{""nearest_gas_cm"":2475.2,""nearest_gas_class"":""BP_GasPillar_03_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0104,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1},""nearest_hostile_cm"":1161.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0105,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""nearest_hostile_cm"":1547.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0106,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":1508.9,""nearest_nuclear_hog_spawner_cm"":1508.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0108,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_HogBasic_C"":2},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":2002.6,""nearest_gas_cm"":1117.7,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0109,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Char_CrabHatcher_C"":1,""Desc_SpitterAquatic_Alpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":667.0}",SatisfactoryMCP inferred hazard context,true
poi_502094_0110,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterForest_Red_Alpha_C"":2},""nearest_hostile_cm"":2508.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0111,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Char_CrabHatcher_C"":1,""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":671.8,""nearest_uranium_cm"":2156.6,""nearest_nuclear_hog_spawner_cm"":671.8}",SatisfactoryMCP inferred hazard context,true
poi_502094_0112,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_HogBasic_C"":3,""Desc_SpitterDesert_Alpha_C"":1},""nearest_hostile_cm"":1905.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0114,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_HogCliff_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":979.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0115,"{""hostiles_nearby"":{""Desc_SpitterDesert_Alpha_C"":1},""nearest_hostile_cm"":2211.7,""nearest_gas_cm"":2816.1,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0116,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":1,""Desc_StingerSmall_C"":2},""nearest_hostile_cm"":1049.6}",SatisfactoryMCP inferred hazard context,true
poi_502094_0117,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":2,""Desc_SpitterDesert_Alpha_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":842.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0118,"{""hostiles_nearby"":{""Desc_SpitterForest_Small_C"":1},""nearest_hostile_cm"":2089.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0120,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""nearest_hostile_cm"":3385.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0121,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Char_CrabHatcher_C"":1},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1515.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0122,"{""nearest_gas_cm"":1030.6,""nearest_gas_class"":""BP_GasPillar_05_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0123,"{""nearest_gas_cm"":3693.1,""nearest_gas_class"":""BP_SporeFlower_C"",""nearest_uranium_cm"":1093.4}",SatisfactoryMCP inferred hazard context,true
poi_502094_0124,"{""hostiles_nearby"":{""Desc_HogBasic_C"":1},""nearest_hostile_cm"":4012.3}",SatisfactoryMCP inferred hazard context,true
poi_502094_0125,"{""hostiles_nearby"":{""Desc_SpitterDesert_Small_C"":1},""spawns_here"":[""Desc_SpitterDesert_Small_C""],""nearest_hostile_cm"":593.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0128,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Small_C"":1},""nearest_hostile_cm"":680.7,""nearest_gas_cm"":589.3,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0129,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Small_C"":2},""nearest_hostile_cm"":3643.0,""nearest_gas_cm"":3179.6,""nearest_gas_class"":""BP_SporeFlower_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0130,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":2},""nearest_hostile_cm"":1202.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0131,"{""hostiles_nearby"":{""Char_CrabHatcher_C"":3},""spawns_here"":[""Char_CrabHatcher_C""],""nearest_hostile_cm"":1113.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0133,"{""hostiles_nearby"":{""Desc_StingerSmall_C"":1},""nearest_hostile_cm"":2523.9,""nearest_gas_cm"":1947.7,""nearest_gas_class"":""BP_GasPillar_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0134,"{""hostiles_nearby"":{""Desc_StingerSmall_C"":2},""nearest_hostile_cm"":1783.8,""nearest_gas_cm"":969.3,""nearest_gas_class"":""BP_SporeFlower_C"",""inside_spore_flower_damage_sphere"":true}",SatisfactoryMCP inferred hazard context,true
poi_502094_0135,"{""hostiles_nearby"":{""Desc_StingerSmall_C"":3},""nearest_hostile_cm"":2061.0,""nearest_gas_cm"":1594.4,""nearest_gas_class"":""BP_GasPillar_01_C""}",SatisfactoryMCP inferred hazard context,true
poi_502094_0136,"{""hostiles_nearby"":{""Char_BigCrabHatcher_C"":1,""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":829.7,""nearest_nuclear_hog_spawner_cm"":829.7}",SatisfactoryMCP inferred hazard context,true
poi_502094_0137,"{""hostiles_nearby"":{""Desc_HogCliff_C"":1},""nearest_hostile_cm"":1885.4,""nearest_uranium_cm"":592.9}",SatisfactoryMCP inferred hazard context,true
poi_502094_0138,"{""hostiles_nearby"":{""Desc_HogBasic_C"":2},""nearest_hostile_cm"":1110.2}",SatisfactoryMCP inferred hazard context,true
poi_502094_0139,"{""hostiles_nearby"":{""Desc_HogNuclear_C"":1},""nearest_hostile_cm"":2242.1,""nearest_nuclear_hog_spawner_cm"":2242.1}",SatisfactoryMCP inferred hazard context,true
poi_502094_0141,"{""hostiles_nearby"":{""Desc_SpitterAquatic_Alpha_C"":1},""spawns_here"":[""Desc_SpitterAquatic_Alpha_C""],""nearest_hostile_cm"":439.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0142,"{""hostiles_nearby"":{""Desc_HogAlpha_C"":1,""Desc_HogCliff_C"":2},""nearest_hostile_cm"":3170.5}",SatisfactoryMCP inferred hazard context,true
poi_502094_0143,"{""hostiles_nearby"":{""Desc_SpitterDesert_Small_C"":1},""nearest_hostile_cm"":2107.9}",SatisfactoryMCP inferred hazard context,true
