schematic_id,item_id,item_name,amount,game_build_id
Schematic_3-4_C,Desc_Wire_C,Wire,1000.0,docs_a81d250e96aa
Schematic_1-1_C,Desc_Cement_C,Concrete,200.0,docs_a81d250e96aa
Schematic_1-1_C,Desc_IronPlate_C,Iron Plate,100.0,docs_a81d250e96aa
Schematic_1-1_C,Desc_IronRod_C,Iron Rod,100.0,docs_a81d250e96aa
Schematic_5-1_C,Desc_Motor_C,Motor,50.0,docs_a81d250e96aa
Schematic_5-1_C,Desc_SteelPlateReinforced_C,Encased Industrial Beam,100.0,docs_a81d250e96aa
Schematic_5-1_C,Desc_SteelPipe_C,Steel Pipe,500.0,docs_a81d250e96aa
Schematic_5-1_C,Desc_CopperSheet_C,Copper Sheet,500.0,docs_a81d250e96aa
Schematic_4-4_C,Desc_SteelPlateReinforced_C,Encased Industrial Beam,50.0,docs_a81d250e96aa
Schematic_4-4_C,Desc_SteelPipe_C,Steel Pipe,300.0,docs_a81d250e96aa
Schematic_4-4_C,Desc_CopperSheet_C,Copper Sheet,500.0,docs_a81d250e96aa
Research_Caterium_4_2_C,Desc_HighSpeedWire_C,Quickwire,300.0,docs_a81d250e96aa
Research_Caterium_6_2_C,Desc_HighSpeedConnector_C,High-Speed Connector,50.0,docs_a81d250e96aa
Research_Caterium_6_2_C,Desc_SteelPipe_C,Steel Pipe,200.0,docs_a81d250e96aa
Schematic_2-5_C,Desc_Cement_C,Concrete,400.0,docs_a81d250e96aa
Schematic_2-5_C,Desc_Wire_C,Wire,500.0,docs_a81d250e96aa
Schematic_2-5_C,Desc_IronRod_C,Iron Rod,200.0,docs_a81d250e96aa
Schematic_2-5_C,Desc_IronPlate_C,Iron Plate,200.0,docs_a81d250e96aa
Schematic_3-1_C,Desc_IronPlateReinforced_C,Reinforced Iron Plate,150.0,docs_a81d250e96aa
Schematic_3-1_C,Desc_Rotor_C,Rotor,50.0,docs_a81d250e96aa
Schematic_3-1_C,Desc_Cable_C,Cable,500.0,docs_a81d250e96aa
Research_PowerSlugs_3_C,Desc_IronRod_C,Iron Rod,50.0,docs_a81d250e96aa
Research_PowerSlugs_3_C,Desc_Wire_C,Wire,100.0,docs_a81d250e96aa
Research_PowerSlugs_3_C,Desc_IronScrew_C,Screws,200.0,docs_a81d250e96aa
ResourceSink_Customizer_Asphalt_FoundationMaterial_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_QuarterPipeExtensions_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Customizer_Concrete_FoundationMaterial_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_HalfFoundations_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_Customizer_GripMetal_FoundationMaterial_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_CurvedFoundationPack_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_Customizer_PolishedConcrete_FoundationMaterial_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_DiagonalRamps_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_FoundationExpansionPack_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_InvertedCornerRamps_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_InvertedRampPack_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_Ladders_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_FrameworkFoundations_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
ResourceSink_FactoryRailing_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_FactoryFence_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_Walkways_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_FoudationPillar_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_FoundationStairs_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_FactoryCart_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
ResourceSink_CyberWagon_C,Desc_ResourceSinkCoupon_C,,20.0,docs_a81d250e96aa
ResourceSink_WallPowerPolesMK3_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_ConveyorWallMount_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_ConveryWalls_Normal_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Customizer_ConcreteWallMaterial_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Diagonal_Down_Wallset_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_Customizer_SteelWallMaterial_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Diagonal_Up_WallSet_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_DoorWalls_Normal_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_WindowedWalls_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_GateWalls_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Tilted_Walls_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_ConveyorCeilingMount_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_HyperTubeWallAttachements_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_PipelineWallAttachments_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_PipelineFloorHole_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_WallPowerPoles_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_WallPowerPolesMK2_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_VentilationBundle_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
Research_Caterium_2_C,Desc_GoldIngot_C,Caterium Ingot,50.0,docs_a81d250e96aa
Schematic_4-1_C,Desc_SteelPipe_C,Steel Pipe,100.0,docs_a81d250e96aa
Schematic_4-1_C,Desc_ModularFrame_C,Modular Frame,100.0,docs_a81d250e96aa
Schematic_4-1_C,Desc_Rotor_C,Rotor,200.0,docs_a81d250e96aa
Schematic_4-1_C,Desc_Cement_C,Concrete,500.0,docs_a81d250e96aa
ResourceSink_StreetLight_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_CeilingLight_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_LightTower_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_StatueLizardDoggo_C,Desc_ResourceSinkCoupon_C,,100.0,docs_a81d250e96aa
ResourceSink_Statue_Hoggo_C,Desc_ResourceSinkCoupon_C,,50.0,docs_a81d250e96aa
ResourceSink_StatueSpaceGiraffe_C,Desc_ResourceSinkCoupon_C,,200.0,docs_a81d250e96aa
ResourceSink_StatueSilverPioneer_C,Desc_ResourceSinkCoupon_C,,50.0,docs_a81d250e96aa
ResourceSink_StatueBronzePioneer_C,Desc_ResourceSinkCoupon_C,,25.0,docs_a81d250e96aa
ResourceSink_StatueGoldPioneer_C,Desc_ResourceSinkCoupon_C,,150.0,docs_a81d250e96aa
ResourceSink_StatueGoldenNut_C,Desc_ResourceSinkCoupon_C,,1000.0,docs_a81d250e96aa
ResourceSink_StackableShelf_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Roofs_Basic_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_Customizer_SteelRoofMaterial_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Roofs_Corners_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_Customizer_GlassRoofMaterial_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Customizer_TarRoofMaterial_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_PersonnelElevator_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
Schematic_6-5_C,Desc_ModularFrameHeavy_C,Heavy Modular Frame,50.0,docs_a81d250e96aa
Schematic_6-5_C,Desc_Plastic_C,Plastic,1000.0,docs_a81d250e96aa
Schematic_6-5_C,Desc_Rubber_C,Rubber,1000.0,docs_a81d250e96aa
ResourceSink_NoIndicator_PipelineMK2_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_NoIndicator_PipelineMK1_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_MedicalBoxSkin_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_LightControlPanel_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
Research_Quartz_1_1_C,Desc_RawQuartz_C,Raw Quartz,20.0,docs_a81d250e96aa
ResourceSink_LabelSigns_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_HyperTubeFloorHole_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_HazardBoxSkin_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_GoldenCup_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_GoldenCart_C,Desc_ResourceSinkCoupon_C,,50.0,docs_a81d250e96aa
ResourceSink_FrameWindows_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_FramePillarSet_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_Fences_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_FactoryBarrier2_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_FactoryBarrier_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_DisplaySigns_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_ConveyorWallHole_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Research_Quartz_2_C,Desc_QuartzCrystal_C,Quartz Crystal,100.0,docs_a81d250e96aa
Research_Quartz_2_C,Desc_IronPlateReinforced_C,Reinforced Iron Plate,50.0,docs_a81d250e96aa
ResourceSink_ConveyorMonitor_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_ConveyorLiftHole_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_ConcretePillarSet_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_Checkmark_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
ResourceSink_Catwalks_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
Research_ACarapace_2_1_C,Desc_Rotor_C,Rotor,25.0,docs_a81d250e96aa
Research_ACarapace_2_1_C,Desc_IronRod_C,Iron Rod,200.0,docs_a81d250e96aa
ResourceSink_Boombox_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_BillboardSigns_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
ResourceSink_BeamSet_Cables_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_BeamSet2_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_BeamSet_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_Zones_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_UnPainted_PaintFinish_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Pathways_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_Number_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_IconsTransport_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_IconsFactory_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_FullLines_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_DotLines_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_Copper_PaintFinish_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Chrome_PaintFinish_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_Caterium_PaintFinish_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
ResourceSink_CarbonSteel_PaintFinish_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
ResourceSink_Arrows_FoundationPatterns_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Research_Quartz_4_1_C,Desc_CrystalOscillator_C,Crystal Oscillator,100.0,docs_a81d250e96aa
Research_Quartz_4_1_C,Desc_Motor_C,Motor,100.0,docs_a81d250e96aa
Research_Quartz_4_1_C,BP_EquipmentDescriptorObjectScanner_C,,1.0,docs_a81d250e96aa
Research_Sulfur_3_2_1_C,Desc_Gunpowder_C,Black Powder,100.0,docs_a81d250e96aa
Research_Sulfur_3_2_1_C,Desc_SteelPipe_C,Steel Pipe,100.0,docs_a81d250e96aa
Schematic_8-5_C,Desc_MotorLightweight_C,Turbo Motor,50.0,docs_a81d250e96aa
Schematic_8-5_C,Desc_ModularFrameFused_C,Fused Modular Frame,100.0,docs_a81d250e96aa
Schematic_8-5_C,Desc_CoolingSystem_C,Cooling System,200.0,docs_a81d250e96aa
Schematic_8-5_C,Desc_HighSpeedWire_C,Quickwire,2500.0,docs_a81d250e96aa
ResourceSink_Purchasable_HardDrive_C,Desc_ResourceSinkCoupon_C,,100.0,docs_a81d250e96aa
Schematic_7-2_C,Desc_AluminumPlate_C,Alclad Aluminum Sheet,200.0,docs_a81d250e96aa
Schematic_7-2_C,Desc_SteelPlateReinforced_C,Encased Industrial Beam,400.0,docs_a81d250e96aa
Schematic_7-2_C,Desc_IronPlateReinforced_C,Reinforced Iron Plate,600.0,docs_a81d250e96aa
Schematic_9-1_C,Desc_ModularFrameFused_C,Fused Modular Frame,100.0,docs_a81d250e96aa
Schematic_9-1_C,Desc_ModularFrameLightweight_C,Radio Control Unit,250.0,docs_a81d250e96aa
Schematic_9-1_C,Desc_CoolingSystem_C,Cooling System,500.0,docs_a81d250e96aa
ResourceSink_TimeCrystal_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
Research_PowerSlugs_6_C,Desc_CrystalShard_C,Power Shard,10.0,docs_a81d250e96aa
Research_PowerSlugs_6_C,Desc_TimeCrystal_C,Time Crystal,100.0,docs_a81d250e96aa
Research_PowerSlugs_6_C,Desc_QuartzCrystal_C,Quartz Crystal,200.0,docs_a81d250e96aa
ResourceSink_SyntheticPowerShard_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
Schematic_9-2_C,Desc_TimeCrystal_C,Time Crystal,50.0,docs_a81d250e96aa
Schematic_9-2_C,Desc_FicsiteMesh_C,Ficsite Trigon,100.0,docs_a81d250e96aa
Schematic_9-2_C,Desc_MotorLightweight_C,Turbo Motor,200.0,docs_a81d250e96aa
Schematic_9-2_C,Desc_ComputerSuper_C,Supercomputer,400.0,docs_a81d250e96aa
ResourceSink_SuperPositionOscillator_C,Desc_ResourceSinkCoupon_C,,9.0,docs_a81d250e96aa
Research_Sulfur_RocketFuel_C,Desc_HardDrive_C,,1.0,docs_a81d250e96aa
Research_Sulfur_RocketFuel_C,Desc_GasTank_C,Empty Fluid Tank,10.0,docs_a81d250e96aa
Research_Sulfur_RocketFuel_C,Desc_TurboFuel_C,Packaged Turbofuel,100.0,docs_a81d250e96aa
ResourceSink_RocketFuel_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_NeuralQuantumProcessor_C,Desc_ResourceSinkCoupon_C,,10.0,docs_a81d250e96aa
Research_Sulfur_IonizedFuel_C,Desc_HardDrive_C,,1.0,docs_a81d250e96aa
Research_Sulfur_IonizedFuel_C,Desc_CrystalShard_C,Power Shard,100.0,docs_a81d250e96aa
Research_Sulfur_IonizedFuel_C,Desc_PackagedRocketFuel_C,Packaged Rocket Fuel,200.0,docs_a81d250e96aa
ResourceSink_IonizedFuel_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
ResourceSink_FicsiteTrigon_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
ResourceSink_PressureConversionCube_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
Schematic_8-2_C,Desc_ModularFrameLightweight_C,Radio Control Unit,50.0,docs_a81d250e96aa
Schematic_8-2_C,Desc_AluminumCasing_C,Aluminum Casing,200.0,docs_a81d250e96aa
Schematic_8-2_C,Desc_AluminumPlate_C,Alclad Aluminum Sheet,400.0,docs_a81d250e96aa
Schematic_8-2_C,Desc_Wire_C,Wire,3000.0,docs_a81d250e96aa
ResourceSink_FusedModularFrame_C,Desc_ResourceSinkCoupon_C,,7.0,docs_a81d250e96aa
ResourceSink_EmptyFluidTank_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_8-1_C,Desc_ComputerSuper_C,Supercomputer,50.0,docs_a81d250e96aa
Schematic_8-1_C,Desc_ModularFrameHeavy_C,Heavy Modular Frame,200.0,docs_a81d250e96aa
Schematic_8-1_C,Desc_Cable_C,Cable,1000.0,docs_a81d250e96aa
Schematic_8-1_C,Desc_Cement_C,Concrete,2000.0,docs_a81d250e96aa
ResourceSink_ElectromagneticControlRod_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_CopperPowder_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_CoolingSystem_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
Schematic_8-4_C,Desc_ModularFrameFused_C,Fused Modular Frame,50.0,docs_a81d250e96aa
Schematic_8-4_C,Desc_ComputerSuper_C,Supercomputer,100.0,docs_a81d250e96aa
Schematic_8-4_C,Desc_SteelPipe_C,Steel Pipe,1000.0,docs_a81d250e96aa
ResourceSink_TurboMotor_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
Schematic_7-4_C,Desc_ModularFrameLightweight_C,Radio Control Unit,50.0,docs_a81d250e96aa
Schematic_7-4_C,Desc_AluminumPlate_C,Alclad Aluminum Sheet,100.0,docs_a81d250e96aa
Schematic_7-4_C,Desc_AluminumCasing_C,Aluminum Casing,200.0,docs_a81d250e96aa
Schematic_7-4_C,Desc_Motor_C,Motor,300.0,docs_a81d250e96aa
ResourceSink_SuperComputer_C,Desc_ResourceSinkCoupon_C,,8.0,docs_a81d250e96aa
Schematic_7-1_C,Desc_Computer_C,Computer,100.0,docs_a81d250e96aa
Schematic_7-1_C,Desc_ModularFrameHeavy_C,Heavy Modular Frame,100.0,docs_a81d250e96aa
Schematic_7-1_C,Desc_Motor_C,Motor,250.0,docs_a81d250e96aa
Schematic_7-1_C,Desc_Rubber_C,Rubber,500.0,docs_a81d250e96aa
ResourceSink_Silica_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Research_Quartz_3_3_C,Desc_CrystalOscillator_C,Crystal Oscillator,100.0,docs_a81d250e96aa
Research_Quartz_3_3_C,Desc_AluminumPlate_C,Alclad Aluminum Sheet,200.0,docs_a81d250e96aa
ResourceSink_RadioControlUnit_C,Desc_ResourceSinkCoupon_C,,7.0,docs_a81d250e96aa
ResourceSink_HeatSink_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Battery_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_AluminumCasing_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_AlcladSheet_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_PolymerResin_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Research_Sulfur_0_C,Desc_Sulfur_C,Sulfur,10.0,docs_a81d250e96aa
Research_Sulfur_TurboFuel_C,Desc_HardDrive_C,,1.0,docs_a81d250e96aa
Research_Sulfur_TurboFuel_C,Desc_CompactedCoal_C,Compacted Coal,15.0,docs_a81d250e96aa
Research_Sulfur_TurboFuel_C,Desc_Fuel_C,Packaged Fuel,50.0,docs_a81d250e96aa
Schematic_5-4_C,Desc_Plastic_C,Plastic,200.0,docs_a81d250e96aa
Schematic_5-4_C,Desc_SteelPlate_C,Steel Beam,400.0,docs_a81d250e96aa
Schematic_5-4_C,Desc_CopperSheet_C,Copper Sheet,1000.0,docs_a81d250e96aa
ResourceSink_PackagedTurboFuel_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_PackagedFuel_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
ResourceSink_PackagedBiofuel_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
Schematic_5-2_C,Desc_Motor_C,Motor,200.0,docs_a81d250e96aa
Schematic_5-2_C,Desc_ModularFrame_C,Modular Frame,200.0,docs_a81d250e96aa
Schematic_5-2_C,Desc_Plastic_C,Plastic,400.0,docs_a81d250e96aa
Schematic_5-2_C,Desc_Cable_C,Cable,1000.0,docs_a81d250e96aa
ResourceSink_HeavyModularFrame_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
ResourceSink_Computer_C,Desc_ResourceSinkCoupon_C,,6.0,docs_a81d250e96aa
Research_Sulfur_3_C,Desc_Gunpowder_C,Black Powder,100.0,docs_a81d250e96aa
Research_Sulfur_3_C,Desc_Plastic_C,Plastic,50.0,docs_a81d250e96aa
ResourceSink_SmokelessPowder_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_Rubber_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_Plastic_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_PetroleumCoke_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_Motor_C,Desc_ResourceSinkCoupon_C,,5.0,docs_a81d250e96aa
Research_Caterium_5_C,Desc_HighSpeedWire_C,Quickwire,500.0,docs_a81d250e96aa
Research_Caterium_5_C,Desc_Plastic_C,Plastic,50.0,docs_a81d250e96aa
ResourceSink_HighSpeedConnector_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_EmptyCanister_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_CrystalOscillator_C,Desc_ResourceSinkCoupon_C,,4.0,docs_a81d250e96aa
ResourceSink_CircuitBoard_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_Stator_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
ResourceSink_EncasedIndustrialBeam_C,Desc_ResourceSinkCoupon_C,,3.0,docs_a81d250e96aa
Research_Sulfur_CompactedCoal_C,Desc_HardDrive_C,,1.0,docs_a81d250e96aa
Research_Sulfur_CompactedCoal_C,Desc_Sulfur_C,Sulfur,25.0,docs_a81d250e96aa
Research_Sulfur_CompactedCoal_C,Desc_Coal_C,Coal,25.0,docs_a81d250e96aa
ResourceSink_CompactedCoal_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_SteelPipe_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
ResourceSink_SteelBeam_C,Desc_ResourceSinkCoupon_C,,2.0,docs_a81d250e96aa
Research_Sulfur_1_C,Desc_Sulfur_C,Sulfur,50.0,docs_a81d250e96aa
Research_Sulfur_1_C,Desc_Coal_C,Coal,25.0,docs_a81d250e96aa
ResourceSink_BlackPowder_C,Desc_ResourceSinkCoupon_C,,1.0,docs_a81d250e96aa
Schematic_2-1_C,Desc_Cable_C,Cable,200.0,docs_a81d250e96aa
Schematic_2-1_C,Desc_IronRod_C,Iron Rod,200.0,docs_a81d250e96aa
Schematic_2-1_C,Desc_IronScrew_C,Screws,500.0,docs_a81d250e96aa
