recipe_id,producer_class,producer_name,game_build_id
Recipe_FicsiteMesh_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_FicsiteIngot_Iron_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_FicsiteIngot_AL_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_FicsiteIngot_CAT_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_SpaceElevatorPart_10_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Bauxite_Copper_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Nitrogen_Bauxite_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Quartz_Bauxite_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Caterium_Copper_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Caterium_Quartz_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Nitrogen_Caterium_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Bauxite_Caterium_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Copper_Sulfur_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Limestone_Sulfur_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Sulfur_Coal_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Sulfur_Iron_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Uranium_Bauxite_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_DarkEnergy_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_QuantumEnergy_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_DarkMatter_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_TemporalProcessor_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_SpaceElevatorPart_12_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_PackagedRocketFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageRocketFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_RocketFuel_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_IonizedFuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PackagedIonizedFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageIonizedFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_HeatSink_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_CoolingSystem_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_FusedModularFrame_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_GasTank_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_PackagedNitrogen_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageNitrogen_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_ElectromagneticControlRod_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_SpaceElevatorPart_6_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_UraniumCell_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_NuclearFuelRod_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_MotorTurbo_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_SpaceElevatorPart_8_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_ComputerSuper_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_AluminumCasing_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_AluminumSheet_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_IngotAluminum_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_AluminaSolution_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_AluminumScrap_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PackagedAlumina_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageAlumina_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_RadioControlUnit_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_FluidCanister_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Fuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_Alternate_Turbofuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PackagedTurboFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageTurboFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_LiquidBiofuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PackagedBiofuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageBioFuel_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_PackagedCrudeOil_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageOil_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_PackagedOilResidue_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageOilResidue_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_PackagedWater_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageWater_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_Alternate_Coal_1_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_Coal_2_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_EnrichedCoal_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Computer_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_ModularFrameHeavy_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_SpaceElevatorPart_4_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_SpaceElevatorPart_5_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_GunpowderMK2_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_HighSpeedConnector_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Gunpowder_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_ModularFrame_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Rotor_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_CopperSheet_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_SpaceElevatorPart_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Fabric_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Biofuel_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_AILimiter_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_CartridgeChaos_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_CartridgeChaos_Packaged_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_CartridgeSmart_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Rebar_Stunshot_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Rebar_Spreadshot_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Rebar_Explosive_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_FilterHazmat_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_NobeliskShockwave_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_NobeliskGas_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_NobeliskCluster_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_FilterGasMask_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Cartridge_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_XmasWreath_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Snowball_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_XmasStar_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_XmasBall3_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_XmasBall4_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_XmasBallCluster_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_XmasBall1_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_XmasBall2_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_Snow_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_XmasBranch_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_XmasBow_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_CandyCane_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_NobeliskNuke_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_PowerCrystalShard_3_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_PowerCrystalShard_2_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_PowerCrystalShard_1_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_PolyesterFabric_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Biomass_Mycelia_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_IngotCaterium_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_AlienPowerFuel_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_Protein_Stinger_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Protein_Crab_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_AlienDNACapsule_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Biomass_AlienProtein_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Protein_Spitter_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Protein_Hog_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Ficsonium_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_FicsoniumFuelRod_C,Build_QuantumEncoder_C,Quantum Encoder,docs_a81d250e96aa
Recipe_SingularityCell_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_SpaceElevatorPart_11_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Battery_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_SulfuricAcid_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_SpaceElevatorPart_7_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_PackagedSulfuricAcid_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_UnpackageSulfuricAcid_C,Build_Packager_C,Packager,docs_a81d250e96aa
Recipe_Alternate_Wire_2_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_Wire_1_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_UraniumCell_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_TurboMotor_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_Stator_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Silica_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Screw_2_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_Screw_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_Rotor_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_EncasedIndustrialBeam_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_ReinforcedIronPlate_2_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_ReinforcedIronPlate_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_RadioControlUnit_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_Quickwire_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Plastic_1_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_NuclearFuelRod_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_Motor_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_ModularFrame_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_IngotSteel_2_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_IngotSteel_1_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_IngotIron_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_HighSpeedConnector_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_ModularFrameHeavy_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_HeatSink_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Gunpowder_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_ElectromagneticControlRod_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_CrystalOscillator_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_Concrete_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Computer_2_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Computer_1_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_CircuitBoard_2_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_CircuitBoard_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Cable_2_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Cable_1_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_Silica_Distilled_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_Quartz_Purified_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_Quartz_Fused_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_IronIngot_Leached_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_IronIngot_Basic_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_CopperIngot_Tempered_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_CopperIngot_Leached_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_CateriumIngot_Tempered_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_CateriumIngot_Leached_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_SteelPipe_Molded_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_SteelPipe_Iron_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_SteelCastedPlate_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_SteelBeam_Molded_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_SteelBeam_Aluminum_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_AluminumRod_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_AILimiter_Plastic_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_TurboPressureMotor_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_TurboBlendFuel_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_SuperStateComputer_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_SloppyAlumina_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_RadioControlSystem_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_PlutoniumFuelUnit_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_OCSupercomputer_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_InstantScrap_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_InstantPlutoniumCell_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_HeatFusedFrame_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_FertileUranium_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_ElectricMotor_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_DilutedFuel_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_CoolingDevice_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_ClassicBattery_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_AutomatedMiner_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_AlcladCasing_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_WetConcrete_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_TurboHeavyFuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_SteelRod_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_SteelCanister_C,Build_ConstructorMk1_C,Constructor,docs_a81d250e96aa
Recipe_Alternate_SteamedCopperSheet_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_RubberConcrete_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_RecycledRubber_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_PureQuartzCrystal_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_PureIronIngot_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_PureCopperIngot_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_PureCateriumIngot_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_PureAluminumIngot_C,Build_SmelterMk1_C,Smelter,docs_a81d250e96aa
Recipe_Alternate_PolymerResin_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_PlasticSmartPlating_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_HighSpeedWiring_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_HeavyOilResidue_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_HeavyFlexibleFrame_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_FusedWire_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_FlexibleFramework_C,Build_ManufacturerMk1_C,Manufacturer,docs_a81d250e96aa
Recipe_Alternate_ElectrodeCircuitBoard_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_ElectroAluminumScrap_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_DilutedPackagedFuel_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_CopperRotor_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_CopperAlloyIngot_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_CokeSteelIngot_C,Build_FoundryMk1_C,Foundry,docs_a81d250e96aa
Recipe_Alternate_CoatedIronPlate_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_CoatedIronCanister_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_CoatedCable_C,Build_OilRefinery_C,Refinery,docs_a81d250e96aa
Recipe_Alternate_BoltedFrame_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_AdheredIronPlate_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Alternate_RocketFuel_Nitro_C,Build_Blender_C,Blender,docs_a81d250e96aa
Recipe_Alternate_IonizedFuel_Dark_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Alternate_Diamond_Turbo_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_Diamond_Pink_C,Build_Converter_C,Converter,docs_a81d250e96aa
Recipe_Alternate_Diamond_Petroleum_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_Diamond_OilBased_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_Diamond_Cloudy_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_DarkMatter_Trap_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Alternate_DarkMatter_Crystallization_C,Build_HadronCollider_C,Particle Accelerator,docs_a81d250e96aa
Recipe_Fireworks_01_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Fireworks_02_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
Recipe_Fireworks_03_C,Build_AssemblerMk1_C,Assembler,docs_a81d250e96aa
