schematic_id,display_name,schematic_type,tech_tier,time_to_complete_sec,dependencies_block_access,hidden_until_dependencies_met,include_in_builds,full_name,game_build_id,source_id
Schematic_Sanctum_C,Sanctum Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_Sanctum.Schematic_Sanctum_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_LeMichael_C,Le Michael Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_LeMichael.Schematic_LeMichael_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_JoelSyntholm_C,Joel Syntholm Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_JoelSyntholm.Schematic_JoelSyntholm_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Huntdown_C,Huntdown Boombox Tape,EST_Custom,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_Huntdown.Schematic_Huntdown_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Goat_C,Goat Music Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_Goat.Schematic_Goat_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_FicsmasHits_C,FICSMAS Greatest Hits,EST_Custom,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_FicsmasHits.Schematic_FicsmasHits_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_Ficsday2025_C,FICSIT Anniversary Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_Ficsday2025.Schematic_Ficsday2025_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_DeepRockGalactic_C,Deep Rock Galactic Boombox Tape,EST_Custom,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_DeepRockGalactic.Schematic_DeepRockGalactic_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_AbsoluteFicsit_C,Absolute FICSIT Boombox Tape,EST_ResourceSink,0,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Tapes/Schematic_AbsoluteFicsit.Schematic_AbsoluteFicsit_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Colour_ConcreteSwatch_C,Concrete Color Swatch background unlock,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Colour_ConcreteSwatch.CBG_Colour_ConcreteSwatch_C,docs_a81d250e96aa,local_game_docs_en_us
Research_Quartz_1_2_C,Silica,EST_MAM,3,3.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Research/Quartz_RS/Research_Quartz_1_2.Research_Quartz_1_2_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_3-4_C,Basic Steel Production,EST_Milestone,3,480.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_3-4.Schematic_3-4_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Steel_Walls_Basic_C,Basic Steel Walls,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Steel_Walls_Basic.CBG_Steel_Walls_Basic_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Concrete_Walls_Basic_C,Basic Concrete Walls,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Concrete_Walls_Basic.CBG_Concrete_Walls_Basic_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_1-1_C,Base Building,EST_Milestone,1,120.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_1-1.Schematic_1-1_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Foundations_Concrete_C,Concrete Foundations & Basic Ramps,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Foundations_Concrete.CBG_Foundations_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Foundations_Metal_C,Metal Foundations & Basic Ramps,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Foundations_Metal.CBG_Foundations_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Foundations_Asphalt_C,Asphalt Foundations & Basic Ramps,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Foundations_Asphalt.CBG_Foundations_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_CyberWagon_Unlock_C,Cyber Wagon available in the AWESOME Shop,EST_Custom,1,0.000000,False,True,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_CyberWagon_Unlock.ResourceSink_CyberWagon_Unlock_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Foundations_Coated_C,Coated Concrete Foundations & Basic Ramps,EST_Custom,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Foundations_Coated.CBG_Foundations_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_5-1-1_C,Oil Processing 2,EST_Custom,5,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_5-1-1.Schematic_5-1-1_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_5-1_C,Oil Processing,EST_Milestone,5,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_5-1.Schematic_5-1_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_4-4_C,Hypertubes,EST_Milestone,4,600.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_4-4.Schematic_4-4_C,docs_a81d250e96aa,local_game_docs_en_us
CustomizerUnlock_ColourSwatches_C,Customizer Color Swatches,EST_Custom,0,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/CustomizerUnlock_ColourSwatches.CustomizerUnlock_ColourSwatches_C,docs_a81d250e96aa,local_game_docs_en_us
Research_Caterium_4_2_C,Power Poles Mk.2,EST_MAM,3,3.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Research/Caterium_RS/Research_Caterium_4_2.Research_Caterium_4_2_C,docs_a81d250e96aa,local_game_docs_en_us
Research_Caterium_6_2_C,Power Poles Mk.3,EST_MAM,3,3.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Research/Caterium_RS/Research_Caterium_6_2.Research_Caterium_6_2_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_2-5_C,Resource Sink Bonus Program,EST_Milestone,2,300.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_2-5.Schematic_2-5_C,docs_a81d250e96aa,local_game_docs_en_us
CustomizerUnlock_PipelineSwatch_C,Pipeline Swatch,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/CustomizerUnlock_PipelineSwatch.CustomizerUnlock_PipelineSwatch_C,docs_a81d250e96aa,local_game_docs_en_us
Schematic_3-1_C,Coal Power,EST_Milestone,3,480.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Progression/Schematic_3-1.Schematic_3-1_C,docs_a81d250e96aa,local_game_docs_en_us
Research_PowerSlugs_3_C,Slug Scanning,EST_MAM,3,3.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/Research/PowerSlugs_RS/Research_PowerSlugs_3.Research_PowerSlugs_3_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Inverted_Asphalt_C,Asphalt Inverted Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Inverted_Asphalt.CBG_Ramps_Inverted_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Customizer_Asphalt_FoundationMaterial_C,Asphalt Foundation Material,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer/ResourceSink_Customizer_Asphalt_FoundationMaterial.ResourceSink_Customizer_Asphalt_FoundationMaterial_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_ExtensionQuarterPipes_Asphalt_C,Asphalt Quarter PIpe Extensions,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_ExtensionQuarterPipes_Asphalt.CBG_ExtensionQuarterPipes_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_QuarterPipeExtensions_C,Quarter Pipe Extensions Pack,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_QuarterPipeExtensions.ResourceSink_QuarterPipeExtensions_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_ExtensionQuarterPipes_Concrete_C,Concrete Quarter PIpe Extensions,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_ExtensionQuarterPipes_Concrete.CBG_ExtensionQuarterPipes_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Customizer_Concrete_FoundationMaterial_C,Concrete Foundation Material,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer/ResourceSink_Customizer_Concrete_FoundationMaterial.ResourceSink_Customizer_Concrete_FoundationMaterial_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Half_Foundations_Concrete_C,Concrete Half Foundations,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Half_Foundations_Concrete.CBG_Half_Foundations_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_HalfFoundations_C,Half Foundation Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_HalfFoundations.ResourceSink_HalfFoundations_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Half_Foundations_Asphalt_C,Asphalt Half Foundations,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Half_Foundations_Asphalt.CBG_Half_Foundations_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Half_Foundations_Metal_C,Grip Metal Half Foundations,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Half_Foundations_Metal.CBG_Half_Foundations_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Customizer_GripMetal_FoundationMaterial_C,Grip Metal Foundation Material,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer/ResourceSink_Customizer_GripMetal_FoundationMaterial.ResourceSink_Customizer_GripMetal_FoundationMaterial_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_ExtensionQuarterPipes_GripMetal_C,Grip Metal Quarter PIpe Extensions,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_ExtensionQuarterPipes_GripMetal.CBG_ExtensionQuarterPipes_GripMetal_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_QuarterPipes_GripMetal_C,Grip Metal Quarter PIpes,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_QuarterPipes_GripMetal.CBG_QuarterPipes_GripMetal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_CurvedFoundationPack_C,Quarter Pipes Pack,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_CurvedFoundationPack.ResourceSink_CurvedFoundationPack_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_QuarterPipes_Asphalt_C,Asphalt Quarter PIpes,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_QuarterPipes_Asphalt.CBG_QuarterPipes_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_QuarterPipes_Coated_C,Polished Concrete Quarter PIpes,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_QuarterPipes_Coated.CBG_QuarterPipes_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Customizer_PolishedConcrete_FoundationMaterial_C,Coated Concrete Foundation Material,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer/ResourceSink_Customizer_PolishedConcrete_FoundationMaterial.ResourceSink_Customizer_PolishedConcrete_FoundationMaterial_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_ExtensionQuarterPipes_Polished_C,Polished Concrete Quarter PIpe Extensions,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_ExtensionQuarterPipes_Polished.CBG_ExtensionQuarterPipes_Polished_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Half_Foundations_Polished_C,Polished Concrete Half Foundations,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Half_Foundations_Polished.CBG_Half_Foundations_Polished_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Corners_Coated_C,Coated Concrete Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Corners_Coated.CBG_Ramps_Corners_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_DiagonalRamps_C,Corner Ramp Pack,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_DiagonalRamps.ResourceSink_DiagonalRamps_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Corners_Asphalt_C,Asphalt Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Corners_Asphalt.CBG_Ramps_Corners_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Corners_Concrete_C,Concrete Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Corners_Concrete.CBG_Ramps_Corners_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Corners_Metal_C,Metal Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Corners_Metal.CBG_Ramps_Corners_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FoundationExpansionPack_C,Double Ramp Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FoundationExpansionPack.ResourceSink_FoundationExpansionPack_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Double_Asphalt_C,Asphalt Double Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Double_Asphalt.CBG_Ramps_Double_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Double_Coated_C,Coated Concrete Double Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Double_Coated.CBG_Ramps_Double_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Double_Concrete_C,Concrete Double Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Double_Concrete.CBG_Ramps_Double_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Double_Metal_C,Metal Double Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Double_Metal.CBG_Ramps_Double_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_InvertedCornerRamps_C,Inverted Corner Ramp Pack,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_InvertedCornerRamps.ResourceSink_InvertedCornerRamps_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_InvCorners_Asphalt_C,Asphalt Inverted corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_InvCorners_Asphalt.CBG_Ramps_InvCorners_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_InvCorners_Coated_C,Coated Concrete Inverted Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_InvCorners_Coated.CBG_Ramps_InvCorners_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_InvCorners_Concrete_C,Concrete Inverted corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_InvCorners_Concrete.CBG_Ramps_InvCorners_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_InvCorners_Metal_C,Metal Inverted Corner Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_InvCorners_Metal.CBG_Ramps_InvCorners_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_InvertedRampPack_C,Inverted Ramp Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_InvertedRampPack.ResourceSink_InvertedRampPack_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Inverted_Coated_C,Coated Concrete Inverted Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Inverted_Coated.CBG_Ramps_Inverted_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Inverted_Concrete_C,Concrete Inverted Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Inverted_Concrete.CBG_Ramps_Inverted_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Ramps_Inverted_Metal_C,Metal Inverted Ramps,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Ramps_Inverted_Metal.CBG_Ramps_Inverted_Metal_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Ladders_C,Factory Ladder,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_Ladders.ResourceSink_Ladders_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FrameworkFoundations_C,Structural Frame Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FrameworkFoundations.ResourceSink_FrameworkFoundations_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FactoryRailing_C,Industrial Railing,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FactoryRailing.ResourceSink_FactoryRailing_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FactoryFence_C,Modern Railing,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FactoryFence.ResourceSink_FactoryFence_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_Walkways_C,Industrial Walkways,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_Walkways.ResourceSink_Walkways_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FoudationPillar_C,Metal Pillar Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FoudationPillar.ResourceSink_FoudationPillar_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Stairs_Coated_C,Polished Concrete Stairs,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Stairs_Coated.CBG_Stairs_Coated_C,docs_a81d250e96aa,local_game_docs_en_us
ResourceSink_FoundationStairs_C,Foundation Stairs Set,EST_ResourceSink,1,0.000000,False,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/ResourceSink_FoundationStairs.ResourceSink_FoundationStairs_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Stairs_Asphalt_C,Asphalt Stairs,EST_Custom,0,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Stairs_Asphalt.CBG_Stairs_Asphalt_C,docs_a81d250e96aa,local_game_docs_en_us
CBG_Stairs_Concrete_C,Concrete Stairs,EST_Custom,1,0.000000,True,False,IIB_PublicBuilds,BlueprintGeneratedClass /Game/FactoryGame/Schematics/ResourceSink/Customizer_Background/CBG_Stairs_Concrete.CBG_Stairs_Concrete_C,docs_a81d250e96aa,local_game_docs_en_us
