recipe_id,direction,item_id,item_name,amount,amount_raw,unit,game_build_id
Recipe_BlueprintDesigner_Mk3_C,input,Desc_ModularFrameFused_C,Fused Modular Frame,20.0,20,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk3_C,input,Desc_TemporalProcessor_C,Neural-Quantum Processor,10.0,10,items,docs_a81d250e96aa
Recipe_BlueprintDesigner_Mk3_C,input,Desc_TimeCrystal_C,Time Crystal,50.0,50,items,docs_a81d250e96aa
Recipe_CandyCaneDecor_C,input,Desc_CandyCane_C,Candy Cane,10.0,10,items,docs_a81d250e96aa
Recipe_CandyCaneDecor_C,input,Desc_XmasBow_C,FICSMAS Bow,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Cross_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Cross_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Catwalk_Ramp_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Ramp_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Catwalk_Stairs_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Stairs_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Catwalk_Straight_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Straight_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Catwalk_T_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_T_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Catwalk_Turn_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_Catwalk_Turn_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_CeilingLight_C,input,Desc_HighSpeedWire_C,Quickwire,50.0,50,items,docs_a81d250e96aa
Recipe_CeilingLight_C,input,Desc_SteelPlate_C,Steel Beam,6.0,6,items,docs_a81d250e96aa
Recipe_CeilingLight_C,input,Desc_Wire_C,Wire,16.0,16,items,docs_a81d250e96aa
Recipe_CentralStorage_C,input,Desc_ModularFrame_C,Modular Frame,10.0,10,items,docs_a81d250e96aa
Recipe_CentralStorage_C,input,Desc_SAMFluctuator_C,SAM Fluctuator,10.0,10,items,docs_a81d250e96aa
Recipe_CentralStorage_C,input,Desc_WAT2_C,Mercer Sphere,1.0,1,items,docs_a81d250e96aa
Recipe_CentralStorage_C,input,Desc_Wire_C,Wire,100.0,100,items,docs_a81d250e96aa
Recipe_ChainLinkFence_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Concrete_Barrier_01_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_ConstructorMk1_C,input,Desc_Cable_C,Cable,8.0,8,items,docs_a81d250e96aa
Recipe_ConstructorMk1_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_Converter_C,input,Desc_CoolingSystem_C,Cooling System,25.0,25,items,docs_a81d250e96aa
Recipe_Converter_C,input,Desc_ModularFrameFused_C,Fused Modular Frame,10.0,10,items,docs_a81d250e96aa
Recipe_Converter_C,input,Desc_ModularFrameLightweight_C,Radio Control Unit,50.0,50,items,docs_a81d250e96aa
Recipe_Converter_C,input,Desc_SAMFluctuator_C,SAM Fluctuator,100.0,100,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentMergerPriority_C,input,Desc_CrystalOscillator_C,Crystal Oscillator,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentMergerPriority_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentMergerPriority_C,input,Desc_ModularFrame_C,Modular Frame,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentMerger_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentMerger_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterProgrammable_C,input,Desc_CircuitBoardHighSpeed_C,AI Limiter,5.0,5,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterProgrammable_C,input,Desc_Computer_C,Computer,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterProgrammable_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterSmart_C,input,Desc_CircuitBoardHighSpeed_C,AI Limiter,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterSmart_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitterSmart_C,input,Desc_Rotor_C,Rotor,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitter_C,input,Desc_Cable_C,Cable,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorAttachmentSplitter_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk1_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk2_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk3_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk4_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk5_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk6_C,input,Desc_FicsiteMesh_C,Ficsite Trigon,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorBeltMk6_C,input,Desc_TimeCrystal_C,Time Crystal,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorCeilingAttachment_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorCeilingAttachment_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorCeilingAttachment_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk1_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk2_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk3_C,input,Desc_SteelPlate_C,Steel Beam,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk4_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk5_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk6_C,input,Desc_FicsiteMesh_C,Ficsite Trigon,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorLiftMk6_C,input,Desc_TimeCrystal_C,Time Crystal,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorMonitor_C,input,Desc_CrystalOscillator_C,Crystal Oscillator,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorMonitor_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,4.0,4,items,docs_a81d250e96aa
Recipe_ConveyorMonitor_C,input,Desc_QuartzCrystal_C,Quartz Crystal,10.0,10,items,docs_a81d250e96aa
Recipe_ConveyorPoleStackable_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPoleStackable_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPoleStackable_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPoleWall_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPoleWall_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPoleWall_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorPole_C,input,Desc_Cement_C,Concrete,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorPole_C,input,Desc_IronPlate_C,Iron Plate,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorPole_C,input,Desc_IronRod_C,Iron Rod,1.0,1,items,docs_a81d250e96aa
Recipe_ConveyorWallHole_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorWallHole_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_ConveyorWallHole_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_CyberWagon_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,10.0,10,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_AsphaltInCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_AsphaltOutCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_Asphalt_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_ConcreteInCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_ConcreteOutCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_ConcretePolishedInCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_ConcretePolishedOutCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_ConcretePolished_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_Concrete_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_GripInCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_GripOutCorner_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DownQuarterPipe_Grip_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_DroneStation_C,input,Desc_AluminumCasing_C,Aluminum Casing,50.0,50,items,docs_a81d250e96aa
Recipe_DroneStation_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,50.0,50,items,docs_a81d250e96aa
Recipe_DroneStation_C,input,Desc_HighSpeedConnector_C,High-Speed Connector,20.0,20,items,docs_a81d250e96aa
Recipe_DroneStation_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,20.0,20,items,docs_a81d250e96aa
Recipe_DroneStation_C,input,Desc_ModularFrameLightweight_C,Radio Control Unit,10.0,10,items,docs_a81d250e96aa
Recipe_DroneTransport_C,input,BP_ItemDescriptorPortableMiner_C,Portable Miner,1.0,1,items,docs_a81d250e96aa
Recipe_DroneTransport_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,10.0,10,items,docs_a81d250e96aa
Recipe_DroneTransport_C,input,Desc_CircuitBoardHighSpeed_C,AI Limiter,2.0,2,items,docs_a81d250e96aa
Recipe_DroneTransport_C,input,Desc_ModularFrameLightweight_C,Radio Control Unit,1.0,1,items,docs_a81d250e96aa
Recipe_DroneTransport_C,input,Desc_Motor_C,Motor,4.0,4,items,docs_a81d250e96aa
Recipe_ElevatorFloorStop_C,input,Desc_ModularFrame_C,Modular Frame,2.0,2,items,docs_a81d250e96aa
Recipe_ElevatorFloorStop_C,input,Desc_Motor_C,Motor,1.0,1,items,docs_a81d250e96aa
Recipe_ElevatorFloorStop_C,input,Desc_SteelPlate_C,Steel Beam,5.0,5,items,docs_a81d250e96aa
Recipe_Elevator_C,input,Desc_Silica_C,Silica,1.0,1,items,docs_a81d250e96aa
Recipe_Elevator_C,input,Desc_SteelPlate_C,Steel Beam,1.0,1,items,docs_a81d250e96aa
Recipe_Explorer_C,input,Desc_CrystalOscillator_C,Crystal Oscillator,5.0,5,items,docs_a81d250e96aa
Recipe_Explorer_C,input,Desc_ModularFrame_C,Modular Frame,10.0,10,items,docs_a81d250e96aa
Recipe_Explorer_C,input,Desc_Motor_C,Motor,5.0,5,items,docs_a81d250e96aa
Recipe_Explorer_C,input,Desc_SteelPipe_C,Steel Pipe,15.0,15,items,docs_a81d250e96aa
Recipe_Fence_01_C,input,Desc_IronRod_C,Iron Rod,4.0,4,items,docs_a81d250e96aa
Recipe_Flat_Frame_01_C,input,Desc_SteelPlate_C,Steel Beam,2.0,2,items,docs_a81d250e96aa
Recipe_FloodlightPole_C,input,Desc_CopperSheet_C,Copper Sheet,4.0,4,items,docs_a81d250e96aa
Recipe_FloodlightPole_C,input,Desc_HighSpeedWire_C,Quickwire,25.0,25,items,docs_a81d250e96aa
Recipe_FloodlightPole_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,8.0,8,items,docs_a81d250e96aa
Recipe_FloodlightWall_C,input,Desc_CopperSheet_C,Copper Sheet,4.0,4,items,docs_a81d250e96aa
Recipe_FloodlightWall_C,input,Desc_HighSpeedWire_C,Quickwire,25.0,25,items,docs_a81d250e96aa
Recipe_FloodlightWall_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,2.0,2,items,docs_a81d250e96aa
Recipe_FluidTruckStation_C,input,Desc_ModularFrame_C,Modular Frame,15.0,15,items,docs_a81d250e96aa
Recipe_FluidTruckStation_C,input,Desc_Plastic_C,Plastic,50.0,50,items,docs_a81d250e96aa
Recipe_FluidTruckStation_C,input,Desc_Rubber_C,Rubber,20.0,20,items,docs_a81d250e96aa
Recipe_FluidTruckStation_C,input,Desc_Stator_C,Stator,20.0,20,items,docs_a81d250e96aa
Recipe_FluidTruck_C,input,Desc_ModularFrame_C,Modular Frame,20.0,20,items,docs_a81d250e96aa
Recipe_FluidTruck_C,input,Desc_Motor_C,Motor,15.0,15,items,docs_a81d250e96aa
Recipe_FluidTruck_C,input,Desc_Plastic_C,Plastic,50.0,50,items,docs_a81d250e96aa
Recipe_FluidTruck_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,20.0,20,items,docs_a81d250e96aa
Recipe_FoundationGlass_01_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_FoundationGlass_01_C,input,Desc_SteelPlate_C,Steel Beam,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Hypertube_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Hypertube_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Hypertube_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Lift_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Lift_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Lift_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Pipe_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Pipe_C,input,Desc_IronPlate_C,Iron Plate,2.0,2,items,docs_a81d250e96aa
Recipe_FoundationPassthrough_Pipe_C,input,Desc_IronRod_C,Iron Rod,2.0,2,items,docs_a81d250e96aa
Recipe_Foundation_8x1_01_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_8x2_01_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_8x4_01_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Asphalt_8x1_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Asphalt_8x2_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Asphalt_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_ConcretePolished_8x1_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_ConcretePolished_8x2_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_ConcretePolished_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Concrete_8x1_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Concrete_8x2_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Concrete_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Frame_01_C,input,Desc_SteelPlate_C,Steel Beam,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Metal_8x1_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Metal_8x2_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_Foundation_Metal_8x4_C,input,Desc_Cement_C,Concrete,5.0,5,items,docs_a81d250e96aa
Recipe_FrackingExtractor_C,input,Desc_AluminumCasing_C,Aluminum Casing,10.0,10,items,docs_a81d250e96aa
Recipe_FrackingExtractor_C,input,Desc_SteelPlate_C,Steel Beam,10.0,10,items,docs_a81d250e96aa
Recipe_FrackingSmasher_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,50.0,50,items,docs_a81d250e96aa
Recipe_FrackingSmasher_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,25.0,25,items,docs_a81d250e96aa
Recipe_FrackingSmasher_C,input,Desc_ModularFrameLightweight_C,Radio Control Unit,10.0,10,items,docs_a81d250e96aa
Recipe_FrackingSmasher_C,input,Desc_Motor_C,Motor,50.0,50,items,docs_a81d250e96aa
Recipe_FrackingSmasher_C,input,Desc_Rubber_C,Rubber,100.0,100,items,docs_a81d250e96aa
Recipe_FreightWagon_C,input,Desc_ModularFrame_C,Modular Frame,5.0,5,items,docs_a81d250e96aa
Recipe_FreightWagon_C,input,Desc_SteelPipe_C,Steel Pipe,10.0,10,items,docs_a81d250e96aa
Recipe_FreightWagon_C,input,Desc_SteelPlate_C,Steel Beam,10.0,10,items,docs_a81d250e96aa
Recipe_Gate_Automated_8x4_C,input,Desc_IronPlate_C,Iron Plate,6.0,6,items,docs_a81d250e96aa
Recipe_GeneratorBiomass_Automated_C,input,Desc_IronPlate_C,Iron Plate,15.0,15,items,docs_a81d250e96aa
Recipe_GeneratorBiomass_Automated_C,input,Desc_IronRod_C,Iron Rod,15.0,15,items,docs_a81d250e96aa
Recipe_GeneratorBiomass_Automated_C,input,Desc_Wire_C,Wire,25.0,25,items,docs_a81d250e96aa
Recipe_GeneratorCoal_C,input,Desc_Cable_C,Cable,30.0,30,items,docs_a81d250e96aa
Recipe_GeneratorCoal_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,20.0,20,items,docs_a81d250e96aa
Recipe_GeneratorCoal_C,input,Desc_Rotor_C,Rotor,10.0,10,items,docs_a81d250e96aa
Recipe_GeneratorFuel_C,input,Desc_CopperSheet_C,Copper Sheet,30.0,30,items,docs_a81d250e96aa
Recipe_GeneratorFuel_C,input,Desc_HighSpeedWire_C,Quickwire,50.0,50,items,docs_a81d250e96aa
Recipe_GeneratorFuel_C,input,Desc_Motor_C,Motor,15.0,15,items,docs_a81d250e96aa
Recipe_GeneratorFuel_C,input,Desc_Rubber_C,Rubber,50.0,50,items,docs_a81d250e96aa
Recipe_GeneratorFuel_C,input,Desc_SteelPlateReinforced_C,Encased Industrial Beam,15.0,15,items,docs_a81d250e96aa
Recipe_GeneratorGeoThermal_C,input,Desc_CopperSheet_C,Copper Sheet,50.0,50,items,docs_a81d250e96aa
Recipe_GeneratorGeoThermal_C,input,Desc_HighSpeedConnector_C,High-Speed Connector,25.0,25,items,docs_a81d250e96aa
Recipe_GeneratorGeoThermal_C,input,Desc_ModularFrame_C,Modular Frame,25.0,25,items,docs_a81d250e96aa
Recipe_GeneratorGeoThermal_C,input,Desc_Motor_C,Motor,10.0,10,items,docs_a81d250e96aa
Recipe_GeneratorGeoThermal_C,input,Desc_Wire_C,Wire,250.0,250,items,docs_a81d250e96aa
Recipe_GeneratorNuclear_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,100.0,100,items,docs_a81d250e96aa
Recipe_GeneratorNuclear_C,input,Desc_Cable_C,Cable,200.0,200,items,docs_a81d250e96aa
Recipe_GeneratorNuclear_C,input,Desc_Cement_C,Concrete,250.0,250,items,docs_a81d250e96aa
Recipe_GeneratorNuclear_C,input,Desc_ComputerSuper_C,Supercomputer,10.0,10,items,docs_a81d250e96aa
Recipe_GeneratorNuclear_C,input,Desc_ModularFrameHeavy_C,Heavy Modular Frame,25.0,25,items,docs_a81d250e96aa
Recipe_HadronCollider_C,input,Desc_ComputerSuper_C,Supercomputer,10.0,10,items,docs_a81d250e96aa
Recipe_HadronCollider_C,input,Desc_CoolingSystem_C,Cooling System,50.0,50,items,docs_a81d250e96aa
Recipe_HadronCollider_C,input,Desc_HighSpeedWire_C,Quickwire,500.0,500,items,docs_a81d250e96aa
Recipe_HadronCollider_C,input,Desc_ModularFrameFused_C,Fused Modular Frame,25.0,25,items,docs_a81d250e96aa
Recipe_HadronCollider_C,input,Desc_MotorLightweight_C,Turbo Motor,10.0,10,items,docs_a81d250e96aa
Recipe_HyperPoleStackable_C,input,Desc_Cement_C,Concrete,2.0,2,items,docs_a81d250e96aa
