schematic_id,display_name,choice_type,recipe_ids,tech_tier,dependency_schematic_ids,game_build_id
Schematic_Alternate_Plastic1_C,Alternate: Recycled Plastic,recipe,Recipe_Alternate_Plastic_1_C,5,1_C,docs_a81d250e96aa
Schematic_Alternate_NuclearFuelRod1_C,Alternate: Uranium Fuel Unit,recipe,Recipe_Alternate_NuclearFuelRod_1_C,7,1_C;Research_Quartz_1_1_C,docs_a81d250e96aa
Schematic_Alternate_Motor1_C,Alternate: Rigor Motor,recipe,Recipe_Alternate_Motor_1_C,4,1_C;Research_Quartz_1_1_C,docs_a81d250e96aa
Schematic_Alternate_ModularFrame_C,Alternate: Steeled Frame,recipe,Recipe_Alternate_ModularFrame_C,4,4_C,docs_a81d250e96aa
Schematic_Alternate_IngotSteel2_C,Alternate: Compacted Steel Ingot,recipe,Recipe_Alternate_IngotSteel_2_C,4,Schematic_Alternate_EnrichedCoal_C;4_C,docs_a81d250e96aa
Schematic_Alternate_IngotSteel1_C,Alternate: Solid Steel Ingot,recipe,Recipe_Alternate_IngotSteel_1_C,4,4_C,docs_a81d250e96aa
Schematic_Alternate_IngotIron_C,Alternate: Iron Alloy Ingot,recipe,Recipe_Alternate_IngotIron_C,1,4_C,docs_a81d250e96aa
Schematic_Alternate_HighSpeedConnector_C,Alternate: Silicon High-Speed Connector,recipe,Recipe_Alternate_HighSpeedConnector_C,5,Research_Caterium_5_C;1_C;Research_Quartz_0_C,docs_a81d250e96aa
Schematic_Alternate_HeavyModularFrame_C,Alternate: Heavy Encased Frame,recipe,Recipe_Alternate_ModularFrameHeavy_C,4,2_C,docs_a81d250e96aa
Schematic_Alternate_HeatSink1_C,Alternate: Heat Exchanger,recipe,Recipe_Alternate_HeatSink_1_C,7,2_C,docs_a81d250e96aa
Schematic_Alternate_Gunpowder1_C,Alternate: Fine Black Powder,recipe,Recipe_Alternate_Gunpowder_1_C,4,Schematic_Alternate_EnrichedCoal_C,docs_a81d250e96aa
Schematic_Alternate_ElectromagneticControlRod1_C,Alternate: Electromagnetic Connection Rod,recipe,Recipe_Alternate_ElectromagneticControlRod_1_C,7,1_C;Research_Caterium_4_1_C,docs_a81d250e96aa
Schematic_Alternate_CrystalOscillator_C,Alternate: Insulated Crystal Oscillator,recipe,Recipe_Alternate_CrystalOscillator_C,5,Research_Quartz_2_C;Research_Caterium_3_C;1_C,docs_a81d250e96aa
Schematic_Alternate_Concrete_C,Alternate: Fine Concrete,recipe,Recipe_Alternate_Concrete_C,4,Research_Quartz_0_C,docs_a81d250e96aa
Schematic_Alternate_Computer2_C,Alternate: Crystal Computer,recipe,Recipe_Alternate_Computer_2_C,5,2_C;Research_Quartz_1_1_C,docs_a81d250e96aa
Schematic_Alternate_Computer1_C,Alternate: Caterium Computer,recipe,Recipe_Alternate_Computer_1_C,5,2_C;Research_Caterium_1_C,docs_a81d250e96aa
Schematic_Alternate_Coal2_C,Alternate: Biocoal,recipe,Recipe_Alternate_Coal_2_C,3,1_C,docs_a81d250e96aa
Schematic_Alternate_Coal1_C,Alternate: Charcoal,recipe,Recipe_Alternate_Coal_1_C,3,1_C,docs_a81d250e96aa
Schematic_Alternate_CircuitBoard2_C,Alternate: Caterium Circuit Board,recipe,Recipe_Alternate_CircuitBoard_2_C,5,1_C;Research_Caterium_1_C,docs_a81d250e96aa
Schematic_Alternate_CircuitBoard1_C,Alternate: Silicon Circuit Board,recipe,Recipe_Alternate_CircuitBoard_1_C,5,1_C;Research_Quartz_0_C,docs_a81d250e96aa
Schematic_Alternate_Cable2_C,Alternate: Quickwire Cable,recipe,Recipe_Alternate_Cable_2_C,5,1_C;Research_Caterium_1_C,docs_a81d250e96aa
Schematic_Alternate_Cable1_C,Alternate: Insulated Cable,recipe,Recipe_Alternate_Cable_1_C,5,1_C,docs_a81d250e96aa
Schematic_Alternate_Quartz_Purified_C,Alternate: Quartz Purification,recipe,Recipe_Alternate_Quartz_Purified_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_Quartz_Fused_C,Alternate: Fused Quartz Crystal,recipe,Recipe_Alternate_Quartz_Fused_C,0,Research_Quartz_1_1_C;4_C,docs_a81d250e96aa
Schematic_Alternate_IronIngot_Leached_C,Alternate: Leached Iron Ingot,recipe,Recipe_Alternate_IronIngot_Leached_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_IronIngot_Basic_C,Alternate: Basic Iron Ingot,recipe,Recipe_Alternate_IronIngot_Basic_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_CopperIngot_Tempered_C,Alternate: Tempered Copper Ingot,recipe,Recipe_Alternate_CopperIngot_Tempered_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CopperIngot_Leached_C,Alternate: Leached Copper Ingot,recipe,Recipe_Alternate_CopperIngot_Leached_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_CateriumIngot_Tempered_C,Alternate: Tempered Caterium Ingot,recipe,Recipe_Alternate_CateriumIngot_Tempered_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CateriumIngot_Leached_C,Alternate: Leached Caterium Ingot,recipe,Recipe_Alternate_CateriumIngot_Leached_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_SteelPipe_Molded_C,Alternate: Molded Steel Pipe,recipe,Recipe_Alternate_SteelPipe_Molded_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteelPipe_Iron_C,Alternate: Iron Pipe,recipe,Recipe_Alternate_SteelPipe_Iron_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteelCastedPlate_C,Alternate: Steel Cast Plate,recipe,Recipe_Alternate_SteelCastedPlate_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteelBeam_Molded_C,Alternate: Molded Beam,recipe,Recipe_Alternate_SteelBeam_Molded_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteelBeam_Aluminum_C,Alternate: Aluminum Beam,recipe,Recipe_Alternate_SteelBeam_Aluminum_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_AluminumRod_C,Alternate: Aluminum Rod,recipe,Recipe_Alternate_AluminumRod_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_AILimiter_Plastic_C,Alternate: Plastic AI Limiter,recipe,Recipe_Alternate_AILimiter_Plastic_C,0,Research_Caterium_4_1_C;1_C,docs_a81d250e96aa
Schematic_Alternate_TurboPressureMotor_C,Alternate: Turbo Pressure Motor,recipe,Recipe_Alternate_TurboPressureMotor_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_TurboBlendFuel_C,Alternate: Turbo Blend Fuel,recipe,Recipe_Alternate_TurboBlendFuel_C;Recipe_PackagedTurboFuel_C;Recipe_UnpackageTurboFuel_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_SuperStateComputer_C,Alternate: Super-State Computer,recipe,Recipe_Alternate_SuperStateComputer_C,0,1_C;5_C,docs_a81d250e96aa
Schematic_Alternate_SloppyAlumina_C,Alternate: Sloppy Alumina,recipe,Recipe_Alternate_SloppyAlumina_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_RadioControlSystem_C,Alternate: Radio Control System,recipe,Recipe_Alternate_RadioControlSystem_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_PlutoniumFuelUnit_C,Alternate: Plutonium Fuel Unit,recipe,Recipe_Alternate_PlutoniumFuelUnit_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_OCSupercomputer_C,Alternate: OC Supercomputer,recipe,Recipe_Alternate_OCSupercomputer_C,0,5_C;2_C,docs_a81d250e96aa
Schematic_Alternate_InstantScrap_C,Alternate: Instant Scrap,recipe,Recipe_Alternate_InstantScrap_C,0,1_C;5_C,docs_a81d250e96aa
Schematic_Alternate_InstantPlutoniumCell_C,Alternate: Instant Plutonium Cell,recipe,Recipe_Alternate_InstantPlutoniumCell_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_HeatFusedFrame_C,Alternate: Heat-Fused Frame,recipe,Recipe_Alternate_HeatFusedFrame_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_FertileUranium_C,Alternate: Fertile Uranium,recipe,Recipe_Alternate_FertileUranium_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_ElectricMotor_C,Alternate: Electric Motor,recipe,Recipe_Alternate_ElectricMotor_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_DilutedFuel_C,Alternate: Diluted Fuel,recipe,Recipe_Alternate_DilutedFuel_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_CoolingDevice_C,Alternate: Cooling Device,recipe,Recipe_Alternate_CoolingDevice_C,0,2_C,docs_a81d250e96aa
Schematic_Alternate_ClassicBattery_C,Alternate: Classic Battery,recipe,Recipe_Alternate_ClassicBattery_C,0,5_C,docs_a81d250e96aa
Schematic_Alternate_AutomatedMiner_C,Alternate: Automated Miner,recipe,Recipe_Alternate_AutomatedMiner_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_AlcladCasing_C,Alternate: Alclad Casing,recipe,Recipe_Alternate_AlcladCasing_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_WetConcrete_C,Alternate: Wet Concrete,recipe,Recipe_Alternate_WetConcrete_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_TurboHeavyFuel_C,Alternate: Turbo Heavy Fuel,recipe,Recipe_Alternate_TurboHeavyFuel_C;Recipe_PackagedTurboFuel_C;Recipe_UnpackageTurboFuel_C,0,1_C;Schematic_Alternate_EnrichedCoal_C,docs_a81d250e96aa
Schematic_Alternate_SteelRod_C,Alternate: Steel Rod,recipe,Recipe_Alternate_SteelRod_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteelCanister_C,Alternate: Steel Canister,recipe,Recipe_Alternate_SteelCanister_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_SteamedCopperSheet_C,Alternate: Steamed Copper Sheet,recipe,Recipe_Alternate_SteamedCopperSheet_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_RubberConcrete_C,Alternate: Rubber Concrete,recipe,Recipe_Alternate_RubberConcrete_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_RecycledRubber_C,Alternate: Recycled Rubber,recipe,Recipe_Alternate_RecycledRubber_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_PureQuartzCrystal_C,Alternate: Pure Quartz Crystal,recipe,Recipe_Alternate_PureQuartzCrystal_C,0,Research_Quartz_1_1_C;1_C,docs_a81d250e96aa
Schematic_Alternate_PureIronIngot_C,Alternate: Pure Iron Ingot,recipe,Recipe_Alternate_PureIronIngot_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_PureCopperIngot_C,Alternate: Pure Copper Ingot,recipe,Recipe_Alternate_PureCopperIngot_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_PureCateriumIngot_C,Alternate: Pure Caterium Ingot,recipe,Recipe_Alternate_PureCateriumIngot_C,0,Research_Caterium_0_C;1_C,docs_a81d250e96aa
Schematic_Alternate_PureAluminumIngot_C,Alternate: Pure Aluminum Ingot,recipe,Recipe_PureAluminumIngot_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_PolymerResin_C,Alternate: Polymer Resin,recipe,Recipe_Alternate_PolymerResin_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_PlasticSmartPlating_C,Alternate: Plastic Smart Plating,recipe,Recipe_Alternate_PlasticSmartPlating_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_HighSpeedWiring_C,Alternate: Automated Speed Wiring,recipe,Recipe_Alternate_HighSpeedWiring_C,0,1_C;Research_Caterium_4_1_C,docs_a81d250e96aa
Schematic_Alternate_HeavyOilResidue_C,Alternate: Heavy Oil Residue,recipe,Recipe_Alternate_HeavyOilResidue_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_HeavyFlexibleFrame_C,Alternate: Heavy Flexible Frame,recipe,Recipe_Alternate_HeavyFlexibleFrame_C,0,2_C,docs_a81d250e96aa
Schematic_Alternate_FusedWire_C,Alternate: Fused Wire,recipe,Recipe_Alternate_FusedWire_C,0,Research_Caterium_0_C,docs_a81d250e96aa
Schematic_Alternate_FlexibleFramework_C,Alternate: Flexible Framework,recipe,Recipe_Alternate_FlexibleFramework_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_ElectrodeCircuitBoard_C,Alternate: Electrode Circuit Board,recipe,Recipe_Alternate_ElectrodeCircuitBoard_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_ElectroAluminumScrap_C,Alternate: Electrode Aluminum Scrap,recipe,Recipe_Alternate_ElectroAluminumScrap_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_DilutedPackagedFuel_C,Alternate: Diluted Packaged Fuel,recipe,Recipe_Alternate_DilutedPackagedFuel_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CopperRotor_C,Alternate: Copper Rotor,recipe,Recipe_Alternate_CopperRotor_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CopperAlloyIngot_C,Alternate: Copper Alloy Ingot,recipe,Recipe_Alternate_CopperAlloyIngot_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_CokeSteelIngot_C,Alternate: Coke Steel Ingot,recipe,Recipe_Alternate_CokeSteelIngot_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CoatedIronPlate_C,Alternate: Coated Iron Plate,recipe,Recipe_Alternate_CoatedIronPlate_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_CoatedIronCanister_C,Alternate: Coated Iron Canister,recipe,Recipe_Alternate_CoatedIronCanister_C,0,4_C,docs_a81d250e96aa
Schematic_Alternate_CoatedCable_C,Alternate: Coated Cable,recipe,Recipe_Alternate_CoatedCable_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_BoltedFrame_C,Alternate: Bolted Frame,recipe,Recipe_Alternate_BoltedFrame_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_AdheredIronPlate_C,Alternate: Adhered Iron Plate,recipe,Recipe_Alternate_AdheredIronPlate_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_RocketFuel_Nitro_C,Alternate: Nitro Rocket Fuel,recipe,Recipe_Alternate_RocketFuel_Nitro_C,0,Research_Sulfur_RocketFuel_C,docs_a81d250e96aa
Schematic_Alternate_IonizedFuel_Dark_C,Alternate: Dark-Ion Fuel,recipe,Recipe_Alternate_IonizedFuel_Dark_C,0,2_C;Research_Sulfur_IonizedFuel_C,docs_a81d250e96aa
Schematic_Alternate_Diamond_Turbo_C,Alternate: Turbo Diamonds,recipe,Recipe_Alternate_Diamond_Turbo_C,0,1_C;Research_Sulfur_TurboFuel_C,docs_a81d250e96aa
Schematic_Alternate_Diamond_Pink_C,Alternate: Pink Diamonds,recipe,Recipe_Alternate_Diamond_Pink_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_Diamond_Petroleum_C,Alternate: Petroleum Diamonds,recipe,Recipe_Alternate_Diamond_Petroleum_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_Diamond_OilBased_C,Alternate: Oil-Based Diamonds,recipe,Recipe_Alternate_Diamond_OilBased_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_Diamond_Cloudy_C,Alternate: Cloudy Diamonds,recipe,Recipe_Alternate_Diamond_Cloudy_C,0,1_C,docs_a81d250e96aa
Schematic_Alternate_DarkMatter_Trap_C,Alternate: Dark Matter Trap,recipe,Recipe_Alternate_DarkMatter_Trap_C,0,2_C,docs_a81d250e96aa
Schematic_Alternate_DarkMatter_Crystallization_C,Alternate: Dark Matter Crystallization,recipe,Recipe_Alternate_DarkMatter_Crystallization_C,0,2_C,docs_a81d250e96aa
