recipe_id,direction,item_id,item_name,amount_per_cycle_raw,amount_per_cycle,unit,rate_per_min,game_build_id
Recipe_ResidualRubber_C,input,Desc_PolymerResin_C,Polymer Resin,4.0,4.0,items,40.0,docs_a81d250e96aa
Recipe_ResidualRubber_C,input,Desc_Water_C,Water,4000.0,4.0,m3,40.0,docs_a81d250e96aa
Recipe_ResidualRubber_C,output,Desc_Rubber_C,Rubber,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_LiquidFuel_C,input,Desc_LiquidOil_C,Crude Oil,6000.0,6.0,m3,60.0,docs_a81d250e96aa
Recipe_LiquidFuel_C,output,Desc_LiquidFuel_C,Fuel,4000.0,4.0,m3,40.0,docs_a81d250e96aa
Recipe_LiquidFuel_C,output,Desc_PolymerResin_C,Polymer Resin,3.0,3.0,items,30.0,docs_a81d250e96aa
Recipe_ResidualPlastic_C,input,Desc_PolymerResin_C,Polymer Resin,6.0,6.0,items,60.0,docs_a81d250e96aa
Recipe_ResidualPlastic_C,input,Desc_Water_C,Water,2000.0,2.0,m3,20.0,docs_a81d250e96aa
Recipe_ResidualPlastic_C,output,Desc_Plastic_C,Plastic,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_PetroleumCoke_C,input,Desc_HeavyOilResidue_C,Heavy Oil Residue,4000.0,4.0,m3,40.0,docs_a81d250e96aa
Recipe_PetroleumCoke_C,output,Desc_PetroleumCoke_C,Petroleum Coke,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_EncasedIndustrialBeam_C,input,Desc_SteelPlate_C,Steel Beam,3.0,3.0,items,18.0,docs_a81d250e96aa
Recipe_EncasedIndustrialBeam_C,input,Desc_Cement_C,Concrete,6.0,6.0,items,36.0,docs_a81d250e96aa
Recipe_EncasedIndustrialBeam_C,output,Desc_SteelPlateReinforced_C,Encased Industrial Beam,1.0,1.0,items,6.0,docs_a81d250e96aa
Recipe_Motor_C,input,Desc_Rotor_C,Rotor,2.0,2.0,items,10.0,docs_a81d250e96aa
Recipe_Motor_C,input,Desc_Stator_C,Stator,2.0,2.0,items,10.0,docs_a81d250e96aa
Recipe_Motor_C,output,Desc_Motor_C,Motor,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_Stator_C,input,Desc_SteelPipe_C,Steel Pipe,3.0,3.0,items,15.0,docs_a81d250e96aa
Recipe_Stator_C,input,Desc_Wire_C,Wire,8.0,8.0,items,40.0,docs_a81d250e96aa
Recipe_Stator_C,output,Desc_Stator_C,Stator,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_3_C,input,Desc_Stator_C,Stator,1.0,1.0,items,2.5,docs_a81d250e96aa
Recipe_SpaceElevatorPart_3_C,input,Desc_Cable_C,Cable,20.0,20.0,items,50.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_3_C,output,Desc_SpaceElevatorPart_3_C,Automated Wiring,1.0,1.0,items,2.5,docs_a81d250e96aa
Recipe_Quickwire_C,input,Desc_GoldIngot_C,Caterium Ingot,1.0,1.0,items,12.0,docs_a81d250e96aa
Recipe_Quickwire_C,output,Desc_HighSpeedWire_C,Quickwire,5.0,5.0,items,60.0,docs_a81d250e96aa
Recipe_QuartzCrystal_C,input,Desc_RawQuartz_C,Raw Quartz,5.0,5.0,items,37.5,docs_a81d250e96aa
Recipe_QuartzCrystal_C,output,Desc_QuartzCrystal_C,Quartz Crystal,3.0,3.0,items,22.5,docs_a81d250e96aa
Recipe_CrystalOscillator_C,input,Desc_QuartzCrystal_C,Quartz Crystal,36.0,36.0,items,18.0,docs_a81d250e96aa
Recipe_CrystalOscillator_C,input,Desc_Cable_C,Cable,28.0,28.0,items,14.0,docs_a81d250e96aa
Recipe_CrystalOscillator_C,input,Desc_IronPlateReinforced_C,Reinforced Iron Plate,5.0,5.0,items,2.5,docs_a81d250e96aa
Recipe_CrystalOscillator_C,output,Desc_CrystalOscillator_C,Crystal Oscillator,2.0,2.0,items,1.0,docs_a81d250e96aa
Recipe_SpikedRebar_C,input,Desc_IronRod_C,Iron Rod,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_SpikedRebar_C,output,Desc_SpikedRebar_C,,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_NitricAcid_C,input,Desc_NitrogenGas_C,Nitrogen Gas,12000.0,12.0,m3,120.0,docs_a81d250e96aa
Recipe_NitricAcid_C,input,Desc_Water_C,Water,3000.0,3.0,m3,30.0,docs_a81d250e96aa
Recipe_NitricAcid_C,input,Desc_IronPlate_C,Iron Plate,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_NitricAcid_C,output,Desc_NitricAcid_C,Nitric Acid,3000.0,3.0,m3,30.0,docs_a81d250e96aa
Recipe_Nobelisk_C,input,Desc_Gunpowder_C,Black Powder,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_Nobelisk_C,input,Desc_SteelPipe_C,Steel Pipe,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_Nobelisk_C,output,Desc_NobeliskExplosive_C,,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,input,Desc_PlutoniumCell_C,Encased Plutonium Cell,30.0,30.0,items,7.5,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,input,Desc_SteelPlate_C,Steel Beam,18.0,18.0,items,4.5,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,input,Desc_ElectromagneticControlRod_C,Electromagnetic Control Rod,6.0,6.0,items,1.5,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,input,Desc_AluminumPlateReinforced_C,Heat Sink,10.0,10.0,items,2.5,docs_a81d250e96aa
Recipe_PlutoniumFuelRod_C,output,Desc_PlutoniumFuelRod_C,Plutonium Fuel Rod,1.0,1.0,items,0.25,docs_a81d250e96aa
Recipe_PlutoniumCell_C,input,Desc_PlutoniumPellet_C,Plutonium Pellet,2.0,2.0,items,10.0,docs_a81d250e96aa
Recipe_PlutoniumCell_C,input,Desc_Cement_C,Concrete,4.0,4.0,items,20.0,docs_a81d250e96aa
Recipe_PlutoniumCell_C,output,Desc_PlutoniumCell_C,Encased Plutonium Cell,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_PressureConversionCube_C,input,Desc_ModularFrameFused_C,Fused Modular Frame,1.0,1.0,items,1.0,docs_a81d250e96aa
Recipe_PressureConversionCube_C,input,Desc_ModularFrameLightweight_C,Radio Control Unit,2.0,2.0,items,2.0,docs_a81d250e96aa
Recipe_PressureConversionCube_C,output,Desc_PressureConversionCube_C,Pressure Conversion Cube,1.0,1.0,items,1.0,docs_a81d250e96aa
Recipe_Plutonium_C,input,Desc_NonFissibleUranium_C,Non-Fissile Uranium,100.0,100.0,items,100.0,docs_a81d250e96aa
Recipe_Plutonium_C,input,Desc_NuclearWaste_C,Uranium Waste,25.0,25.0,items,25.0,docs_a81d250e96aa
Recipe_Plutonium_C,output,Desc_PlutoniumPellet_C,Plutonium Pellet,30.0,30.0,items,30.0,docs_a81d250e96aa
Recipe_NonFissileUranium_C,input,Desc_NuclearWaste_C,Uranium Waste,15.0,15.0,items,37.5,docs_a81d250e96aa
Recipe_NonFissileUranium_C,input,Desc_Silica_C,Silica,10.0,10.0,items,25.0,docs_a81d250e96aa
Recipe_NonFissileUranium_C,input,Desc_NitricAcid_C,Nitric Acid,6000.0,6.0,m3,15.0,docs_a81d250e96aa
Recipe_NonFissileUranium_C,input,Desc_SulfuricAcid_C,Sulfuric Acid,6000.0,6.0,m3,15.0,docs_a81d250e96aa
Recipe_NonFissileUranium_C,output,Desc_NonFissibleUranium_C,Non-Fissile Uranium,20.0,20.0,items,50.0,docs_a81d250e96aa
Recipe_NonFissileUranium_C,output,Desc_Water_C,Water,6000.0,6.0,m3,15.0,docs_a81d250e96aa
Recipe_CopperDust_C,input,Desc_CopperIngot_C,Copper Ingot,30.0,30.0,items,300.0,docs_a81d250e96aa
Recipe_CopperDust_C,output,Desc_CopperDust_C,Copper Powder,5.0,5.0,items,50.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_9_C,input,Desc_CopperDust_C,Copper Powder,200.0,200.0,items,100.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_9_C,input,Desc_PressureConversionCube_C,Pressure Conversion Cube,1.0,1.0,items,0.5,docs_a81d250e96aa
Recipe_SpaceElevatorPart_9_C,output,Desc_SpaceElevatorPart_9_C,Nuclear Pasta,1.0,1.0,items,0.5,docs_a81d250e96aa
Recipe_PackagedNitricAcid_C,input,Desc_NitricAcid_C,Nitric Acid,1000.0,1.0,m3,30.0,docs_a81d250e96aa
Recipe_PackagedNitricAcid_C,input,Desc_GasTank_C,Empty Fluid Tank,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_PackagedNitricAcid_C,output,Desc_PackagedNitricAcid_C,Packaged Nitric Acid,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_UnpackageNitricAcid_C,input,Desc_PackagedNitricAcid_C,Packaged Nitric Acid,1.0,1.0,items,20.0,docs_a81d250e96aa
Recipe_UnpackageNitricAcid_C,output,Desc_NitricAcid_C,Nitric Acid,1000.0,1.0,m3,20.0,docs_a81d250e96aa
Recipe_UnpackageNitricAcid_C,output,Desc_GasTank_C,Empty Fluid Tank,1.0,1.0,items,20.0,docs_a81d250e96aa
Recipe_TimeCrystal_C,input,Desc_Diamond_C,Diamonds,2.0,2.0,items,12.0,docs_a81d250e96aa
Recipe_TimeCrystal_C,output,Desc_TimeCrystal_C,Time Crystal,1.0,1.0,items,6.0,docs_a81d250e96aa
Recipe_Diamond_C,input,Desc_Coal_C,Coal,20.0,20.0,items,600.0,docs_a81d250e96aa
Recipe_Diamond_C,output,Desc_Diamond_C,Diamonds,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_SAMFluctuator_C,input,Desc_SAMIngot_C,Reanimated SAM,6.0,6.0,items,60.0,docs_a81d250e96aa
Recipe_SAMFluctuator_C,input,Desc_Wire_C,Wire,5.0,5.0,items,50.0,docs_a81d250e96aa
Recipe_SAMFluctuator_C,input,Desc_SteelPipe_C,Steel Pipe,3.0,3.0,items,30.0,docs_a81d250e96aa
Recipe_SAMFluctuator_C,output,Desc_SAMFluctuator_C,SAM Fluctuator,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_IngotSAM_C,input,Desc_SAM_C,SAM,4.0,4.0,items,120.0,docs_a81d250e96aa
Recipe_IngotSAM_C,output,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_Coal_Iron_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Coal_Iron_C,input,Desc_OreIron_C,Iron Ore,18.0,18.0,items,180.0,docs_a81d250e96aa
Recipe_Coal_Iron_C,output,Desc_Coal_C,Coal,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Coal_Limestone_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Coal_Limestone_C,input,Desc_Stone_C,Limestone,36.0,36.0,items,360.0,docs_a81d250e96aa
Recipe_Coal_Limestone_C,output,Desc_Coal_C,Coal,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Copper_Quartz_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Copper_Quartz_C,input,Desc_RawQuartz_C,Raw Quartz,10.0,10.0,items,100.0,docs_a81d250e96aa
Recipe_Copper_Quartz_C,output,Desc_OreCopper_C,Copper Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Iron_Limestone_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Iron_Limestone_C,input,Desc_Stone_C,Limestone,24.0,24.0,items,240.0,docs_a81d250e96aa
Recipe_Iron_Limestone_C,output,Desc_OreIron_C,Iron Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Quartz_Coal_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Quartz_Coal_C,input,Desc_Coal_C,Coal,24.0,24.0,items,240.0,docs_a81d250e96aa
Recipe_Quartz_Coal_C,output,Desc_RawQuartz_C,Raw Quartz,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_FicsiteMesh_C,input,Desc_FicsiteIngot_C,Ficsite Ingot,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_FicsiteMesh_C,output,Desc_FicsiteMesh_C,Ficsite Trigon,3.0,3.0,items,30.0,docs_a81d250e96aa
Recipe_FicsiteIngot_Iron_C,input,Desc_SAMIngot_C,Reanimated SAM,4.0,4.0,items,40.0,docs_a81d250e96aa
Recipe_FicsiteIngot_Iron_C,input,Desc_IronIngot_C,Iron Ingot,24.0,24.0,items,240.0,docs_a81d250e96aa
Recipe_FicsiteIngot_Iron_C,output,Desc_FicsiteIngot_C,Ficsite Ingot,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_FicsiteIngot_AL_C,input,Desc_SAMIngot_C,Reanimated SAM,2.0,2.0,items,60.0,docs_a81d250e96aa
Recipe_FicsiteIngot_AL_C,input,Desc_AluminumIngot_C,Aluminum Ingot,4.0,4.0,items,120.0,docs_a81d250e96aa
Recipe_FicsiteIngot_AL_C,output,Desc_FicsiteIngot_C,Ficsite Ingot,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_FicsiteIngot_CAT_C,input,Desc_SAMIngot_C,Reanimated SAM,3.0,3.0,items,45.0,docs_a81d250e96aa
Recipe_FicsiteIngot_CAT_C,input,Desc_GoldIngot_C,Caterium Ingot,4.0,4.0,items,60.0,docs_a81d250e96aa
Recipe_FicsiteIngot_CAT_C,output,Desc_FicsiteIngot_C,Ficsite Ingot,1.0,1.0,items,15.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_10_C,input,Desc_SpaceElevatorPart_7_C,Assembly Director System,1.0,1.0,items,0.5,docs_a81d250e96aa
Recipe_SpaceElevatorPart_10_C,input,Desc_FicsiteMesh_C,Ficsite Trigon,80.0,80.0,items,40.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_10_C,input,Desc_Water_C,Water,20000.0,20.0,m3,10.0,docs_a81d250e96aa
Recipe_SpaceElevatorPart_10_C,output,Desc_SpaceElevatorPart_10_C,Biochemical Sculptor,4.0,4.0,items,2.0,docs_a81d250e96aa
Recipe_Bauxite_Copper_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Bauxite_Copper_C,input,Desc_OreCopper_C,Copper Ore,18.0,18.0,items,180.0,docs_a81d250e96aa
Recipe_Bauxite_Copper_C,output,Desc_OreBauxite_C,Bauxite,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Nitrogen_Bauxite_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Nitrogen_Bauxite_C,input,Desc_OreBauxite_C,Bauxite,10.0,10.0,items,100.0,docs_a81d250e96aa
Recipe_Nitrogen_Bauxite_C,output,Desc_NitrogenGas_C,Nitrogen Gas,12000.0,12.0,m3,120.0,docs_a81d250e96aa
Recipe_Quartz_Bauxite_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Quartz_Bauxite_C,input,Desc_OreBauxite_C,Bauxite,10.0,10.0,items,100.0,docs_a81d250e96aa
Recipe_Quartz_Bauxite_C,output,Desc_RawQuartz_C,Raw Quartz,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Caterium_Copper_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Caterium_Copper_C,input,Desc_OreCopper_C,Copper Ore,15.0,15.0,items,150.0,docs_a81d250e96aa
Recipe_Caterium_Copper_C,output,Desc_OreGold_C,Caterium Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Caterium_Quartz_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Caterium_Quartz_C,input,Desc_RawQuartz_C,Raw Quartz,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Caterium_Quartz_C,output,Desc_OreGold_C,Caterium Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Nitrogen_Caterium_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Nitrogen_Caterium_C,input,Desc_OreGold_C,Caterium Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Nitrogen_Caterium_C,output,Desc_NitrogenGas_C,Nitrogen Gas,12000.0,12.0,m3,120.0,docs_a81d250e96aa
Recipe_Bauxite_Caterium_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Bauxite_Caterium_C,input,Desc_OreGold_C,Caterium Ore,15.0,15.0,items,150.0,docs_a81d250e96aa
Recipe_Bauxite_Caterium_C,output,Desc_OreBauxite_C,Bauxite,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Copper_Sulfur_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Copper_Sulfur_C,input,Desc_Sulfur_C,Sulfur,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Copper_Sulfur_C,output,Desc_OreCopper_C,Copper Ore,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Limestone_Sulfur_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Limestone_Sulfur_C,input,Desc_Sulfur_C,Sulfur,2.0,2.0,items,20.0,docs_a81d250e96aa
Recipe_Limestone_Sulfur_C,output,Desc_Stone_C,Limestone,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Sulfur_Coal_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Sulfur_Coal_C,input,Desc_Coal_C,Coal,20.0,20.0,items,200.0,docs_a81d250e96aa
Recipe_Sulfur_Coal_C,output,Desc_Sulfur_C,Sulfur,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Sulfur_Iron_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Sulfur_Iron_C,input,Desc_OreIron_C,Iron Ore,30.0,30.0,items,300.0,docs_a81d250e96aa
Recipe_Sulfur_Iron_C,output,Desc_Sulfur_C,Sulfur,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_Uranium_Bauxite_C,input,Desc_SAMIngot_C,Reanimated SAM,1.0,1.0,items,10.0,docs_a81d250e96aa
Recipe_Uranium_Bauxite_C,input,Desc_OreBauxite_C,Bauxite,48.0,48.0,items,480.0,docs_a81d250e96aa
Recipe_Uranium_Bauxite_C,output,Desc_OreUranium_C,Uranium,12.0,12.0,items,120.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,input,Desc_TimeCrystal_C,Time Crystal,2.0,2.0,items,10.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,input,Desc_DarkMatter_C,Dark Matter Crystal,2.0,2.0,items,10.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,input,Desc_QuartzCrystal_C,Quartz Crystal,12.0,12.0,items,60.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,input,Desc_QuantumEnergy_C,Excited Photonic Matter,12000.0,12.0,m3,60.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,output,Desc_CrystalShard_C,Power Shard,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_SyntheticPowerShard_C,output,Desc_DarkEnergy_C,Dark Matter Residue,12000.0,12.0,m3,60.0,docs_a81d250e96aa
Recipe_DarkEnergy_C,input,Desc_SAMIngot_C,Reanimated SAM,5.0,5.0,items,50.0,docs_a81d250e96aa
Recipe_DarkEnergy_C,output,Desc_DarkEnergy_C,Dark Matter Residue,10000.0,10.0,m3,100.0,docs_a81d250e96aa
Recipe_QuantumEnergy_C,output,Desc_QuantumEnergy_C,Excited Photonic Matter,10000.0,10.0,m3,200.0,docs_a81d250e96aa
Recipe_DarkMatter_C,input,Desc_Diamond_C,Diamonds,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_DarkMatter_C,input,Desc_DarkEnergy_C,Dark Matter Residue,5000.0,5.0,m3,150.0,docs_a81d250e96aa
Recipe_DarkMatter_C,output,Desc_DarkMatter_C,Dark Matter Crystal,1.0,1.0,items,30.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,input,Desc_DarkMatter_C,Dark Matter Crystal,6.0,6.0,items,30.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,input,Desc_CrystalOscillator_C,Crystal Oscillator,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,input,Desc_AluminumPlate_C,Alclad Aluminum Sheet,9.0,9.0,items,45.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,input,Desc_QuantumEnergy_C,Excited Photonic Matter,25000.0,25.0,m3,125.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,output,Desc_QuantumOscillator_C,Superposition Oscillator,1.0,1.0,items,5.0,docs_a81d250e96aa
Recipe_SuperpositionOscillator_C,output,Desc_DarkEnergy_C,Dark Matter Residue,25000.0,25.0,m3,125.0,docs_a81d250e96aa
Recipe_TemporalProcessor_C,input,Desc_TimeCrystal_C,Time Crystal,5.0,5.0,items,15.0,docs_a81d250e96aa
Recipe_TemporalProcessor_C,input,Desc_ComputerSuper_C,Supercomputer,1.0,1.0,items,3.0,docs_a81d250e96aa
Recipe_TemporalProcessor_C,input,Desc_FicsiteMesh_C,Ficsite Trigon,15.0,15.0,items,45.0,docs_a81d250e96aa
