poi_id,poi_type,source_object_id,source_cell,source_category,source_class,east_m,north_m,elevation_m,source_game_build,source_sha256
poi_502094_0013,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F01FA401_2123550800,1H1JHAAINGGZXKPQTO0TGZSQ4,crashed_drop_pod,BP_DropPod_C,-1908.66,-669.21,237.51,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0014,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_4,1KTQFD9Q9EJR3XATZG3BO1POH,crashed_drop_pod,BP_DropPod_C,949.4,-1054.83,98.6,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0015,crash_site,Persistent_Level:PersistentLevel.BP_DropPod17_7892,1Q7RLRZUNPDBZYIAUGG6AKFIE,crashed_drop_pod,BP_DropPod_C,-1088.129,-2140.511,32.008,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0016,crash_site,Persistent_Level:PersistentLevel.BP_DropPod6_27,1X2A8L5VBAU1WH5W8YI7585IL,crashed_drop_pod,BP_DropPod_C,-353.6,-1165.944,218.279,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0017,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_12,27U1EWROJ3R69KNVM1DYRUYLL,crashed_drop_pod,BP_DropPod_C,1904.59,-1761.053,114.786,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0018,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_25,29P0N2BTN9946QHMRTSBAWD74,crashed_drop_pod,BP_DropPod_C,-333.402,-51.763,235.191,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0019,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_3,2IOAY27OEM8AMOD40TE15D5UU,crashed_drop_pod,BP_DropPod_C,2918.218,-747.821,-15.747,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0020,crash_site,Persistent_Level:PersistentLevel.BP_DropPod26,3E3WBCALJL7Q8YLRZ9T8SNXPI,crashed_drop_pod,BP_DropPod_C,-551.111,2048.579,78.448,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0021,crash_site,Persistent_Level:PersistentLevel.BP_DropPod30_6998,3I9B29HS75HSEFT7MLOIE89LF,crashed_drop_pod,BP_DropPod_C,1700.577,105.8,188.239,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0022,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_5,3O0V8RX55BQN4AY1YL984IG7V,crashed_drop_pod,BP_DropPod_C,460.482,-1419.331,130.646,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0023,crash_site,Persistent_Level:PersistentLevel.BP_DropPod45_6,3OUYFKUC3NVUEGBQ2D6PJDPYW,crashed_drop_pod,BP_DropPod_C,1908.65,1276.7,160.2,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0024,crash_site,Persistent_Level:PersistentLevel.BP_DropPod5_740,3QI1FQTX3TIVUGSX0192S09MX,crashed_drop_pod,BP_DropPod_C,-1518.42,-724.68,99.45,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0025,crash_site,Persistent_Level:PersistentLevel.BP_DropPod6_2102,3R6BPJKWFPHZXM4UGKCBKM9EW,crashed_drop_pod,BP_DropPod_C,-1087.74,-1078.11,101.54,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0026,crash_site,Persistent_Level:PersistentLevel.BP_DropPod19,3RGVK3TXQZU2P9LPTSNKO083P,crashed_drop_pod,BP_DropPod_C,86.8,417.78,130.534,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0027,crash_site,Persistent_Level:PersistentLevel.BP_DropPod22,42KMEJ5PAEFNOYWUSBCQM4JCS,crashed_drop_pod,BP_DropPod_C,3666.375,3035.488,-72.885,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0028,crash_site,Persistent_Level:PersistentLevel.BP_DropPod39,44TG7V0SRK56WD6QVT0EYTLAW,crashed_drop_pod,BP_DropPod_C,1193.385,1657.106,-1.711,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0029,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F0FF6301_1123988602,4SB9TE4PJA5D3B0GHWPFUUULG,crashed_drop_pod,BP_DropPod_C,1828.25,-938.8,177.55,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0030,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F03B7C01_1712034537,52ZWOLE1UP2NJZ079OGE7M14M,crashed_drop_pod,BP_DropPod_C,1984.18,411.86,137.86,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0031,crash_site,Persistent_Level:PersistentLevel.BP_DropPod8,54ZQ10VOB2550ROEMUQ34SK1Z,crashed_drop_pod,BP_DropPod_C,2617.975,-1246.168,-25.973,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0032,crash_site,Persistent_Level:PersistentLevel.BP_DropPod21_2,5A40EPVHBKBKEVZIDQ5RQ3MY9,crashed_drop_pod,BP_DropPod_C,2951.665,1731.397,80.83,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0033,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_2,5A7MUYO3WUNXBYPQ6UAO1BL32,crashed_drop_pod,BP_DropPod_C,1506.339,-1466.988,77.275,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0034,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_0,5A84AVZIKFF4KTKU9NBQL3HJ9,crashed_drop_pod,BP_DropPod_C,477.674,-1957.031,28.907,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0035,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_11,5G9D4DJ8F77IXGGVQP9Y8A6KO,crashed_drop_pod,BP_DropPod_C,1870.564,-2236.567,-32.155,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0036,crash_site,Persistent_Level:PersistentLevel.BP_DropPod31,5INXY9FV1PWMSD4PMJRZEQ425,crashed_drop_pod,BP_DropPod_C,2005.105,-1319.124,63.411,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0037,crash_site,Persistent_Level:PersistentLevel.BP_DropPod1_8,5IUCQAHO2NCL6WUA5COXK9O78,crashed_drop_pod,BP_DropPod_C,1764.234,-2432.736,-97.802,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0038,crash_site,Persistent_Level:PersistentLevel.BP_DropPod36_UAID_40B076DF2F79496001_1121515405,5JBTJXQALDR6VASX1TGMV21Z6,crashed_drop_pod,BP_DropPod_C,-506.557,2592.724,-16.677,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0039,crash_site,Persistent_Level:PersistentLevel.BP_DropPod28_23787,5LMJPWURFAOHH1WBE4205W5FH,crashed_drop_pod,BP_DropPod_C,2325.158,205.193,89.8,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0040,crash_site,Persistent_Level:PersistentLevel.BP_DropPod5,5PLZML58WG0KIOMKLMBUZQH5A,crashed_drop_pod,BP_DropPod_C,2264.182,-981.095,73.394,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0041,crash_site,Persistent_Level:PersistentLevel.BP_DropPod13,5Q1QKFVJAMPMZYOJH3KDI45OY,crashed_drop_pod,BP_DropPod_C,552.48,513.163,143.633,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0042,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_23,5RHOD41BCWFMAPOKYUFCR4IIU,crashed_drop_pod,BP_DropPod_C,122.498,-1141.772,267.217,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0043,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_10,5V38EQ595PC6PWD7R7ZC10VY7,crashed_drop_pod,BP_DropPod_C,-1420.0,-239.7,326.6,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0044,crash_site,Persistent_Level:PersistentLevel.BP_DropPod42,5X2V7GGF2J0SQZDTX9EB18LSP,crashed_drop_pod,BP_DropPod_C,2210.7,-1859.15,115.6,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0045,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_6,5X7S7OD7874AZKS4EV2ZNIHQ5,crashed_drop_pod,BP_DropPod_C,3601.147,1066.141,118.152,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0046,crash_site,Persistent_Level:PersistentLevel.BP_DropPod37,64CGAQ0E33TFRWD4OSM9DFJ6D,crashed_drop_pod,BP_DropPod_C,445.795,2443.44,-8.745,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0047,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_13058,65MKF1QGYVMRCO02QUXK01MUE,crashed_drop_pod,BP_DropPod_C,-2002.035,177.668,121.933,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0048,crash_site,Persistent_Level:PersistentLevel.BP_DropPod36,6C395W5NYY9U5DB5RXYXRDFPN,crashed_drop_pod,BP_DropPod_C,-1.357,2372.574,-17.607,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0049,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_1,6FB3587GHU02KV1IOLEGEI3WP,crashed_drop_pod,BP_DropPod_C,2092.721,669.169,140.11,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0050,crash_site,Persistent_Level:PersistentLevel.BP_DropPod24_1,6HFUMMCJ4GTHKYOKHEF1ZJZ60,crashed_drop_pod,BP_DropPod_C,1749.483,2764.364,211.513,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0051,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_12,6IFYXZK77J1182HVSKGFQLBUD,crashed_drop_pod,BP_DropPod_C,-1570.779,63.126,251.285,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0052,crash_site,Persistent_Level:PersistentLevel.BP_DropPod1_4,6O54BQMQ6W9AB3E2UV4DBKND5,crashed_drop_pod,BP_DropPod_C,3031.694,2461.69,54.878,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0053,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_5,6T513FUPX9OFNEQSO7GAJONY3,crashed_drop_pod,BP_DropPod_C,286.955,-1934.411,174.598,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0054,crash_site,Persistent_Level:PersistentLevel.BP_DropPod42_5,7077GZERNI0VEY3FN1KQN50IQ,crashed_drop_pod,BP_DropPod_C,1907.85,2368.1,231.3,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0055,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_5,70DX749KZR2CVL8Q86VE4YIPU,crashed_drop_pod,BP_DropPod_C,1114.79,545.15,170.81,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0056,crash_site,Persistent_Level:PersistentLevel.BP_DropPod1,71U3QY9JC6WRRZPQKC79EZB09,crashed_drop_pod,BP_DropPod_C,877.397,629.755,134.442,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0057,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_8348,77KKYMWCG5X95OX3NG74LH3U6,crashed_drop_pod,BP_DropPod_C,-2324.98,514.32,-3.86,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0058,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3_24,85K5L1F77NVGN8OYET0M9D08H,crashed_drop_pod,BP_DropPod_C,-35.119,-623.148,221.094,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0059,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2_1325,8GCHP9KRLUL1Z9GXOIINKNY5X,crashed_drop_pod,BP_DropPod_C,-1957.56,592.104,-0.843,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0060,crash_site,Persistent_Level:PersistentLevel.BP_DropPod35,8P1LLQC95QWAJWXXGVK7QDSW1,crashed_drop_pod,BP_DropPod_C,53.022,1870.906,-16.085,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0061,crash_site,Persistent_Level:PersistentLevel.BP_DropPod33,8Q9U6JP0MU8U0J7VH8JZATBPJ,crashed_drop_pod,BP_DropPod_C,-788.84,-2926.4,-47.67,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0062,crash_site,Persistent_Level:PersistentLevel.BP_DropPod43_2,8URZKFKKBTAUXSHV71JBMIWBD,crashed_drop_pod,BP_DropPod_C,1762.45,2439.85,71.65,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0063,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_11,9A0TTMX75OTZ286SXB1WZJOEC,crashed_drop_pod,BP_DropPod_C,2191.461,1998.802,65.036,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0064,crash_site,Persistent_Level:PersistentLevel.BP_DropPod27_20823,9QS3W4H9WP6I6H4WFCNDVCVFM,crashed_drop_pod,BP_DropPod_C,1639.99,-613.33,214.81,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0065,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_UAID_04421A9713F020A401_1502230978,9T2ED4WSV2C7Q8JKGBTOFGUSB,crashed_drop_pod,BP_DropPod_C,-1421.73,-979.37,185.17,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0066,crash_site,Persistent_Level:PersistentLevel.BP_DropPod3,9TBU6MFSN92XWAB7G6ZP7PIA4,crashed_drop_pod,BP_DropPod_C,-1744.949,1971.348,-15.381,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0067,crash_site,Persistent_Level:PersistentLevel.BP_DropPod1_2,9WTANPYEXGNWQKRA59Z7MXFAM,crashed_drop_pod,BP_DropPod_C,1572.498,402.062,136.948,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0068,crash_site,Persistent_Level:PersistentLevel.BP_DropPod25,A7OSHVNB6E835B4EERH93BM2K,crashed_drop_pod,BP_DropPod_C,1590.883,1451.164,231.649,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0069,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_4,AHK0ZGPUGTOLNP91J86A9B9U3,crashed_drop_pod,BP_DropPod_C,-290.686,226.404,173.842,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0070,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_1,AKK7KQYEZWTFWVYKCJGCLA0SG,crashed_drop_pod,BP_DropPod_C,1436.716,-925.735,249.9,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0071,crash_site,Persistent_Level:PersistentLevel.BP_DropPod9,ARH6JPFZJSTSBTFBRMFSUXJCA,crashed_drop_pod,BP_DropPod_C,2499.195,-595.342,24.303,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0072,crash_site,Persistent_Level:PersistentLevel.BP_DropPod1_22,ATA1U205B15SRCXVJTOBJ3OUZ,crashed_drop_pod,BP_DropPod_C,-952.281,-69.707,251.429,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0073,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_9,AZJI25GUPHFUK3IW9JMGS0YHY,crashed_drop_pod,BP_DropPod_C,1183.5,-2219.052,-70.63,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0074,crash_site,Persistent_Level:PersistentLevel.BP_DropPod11_2,AZXDX9YZIAVF4NXQIJ9LZRRCC,crashed_drop_pod,BP_DropPod_C,-2383.34,-173.217,197.411,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0075,crash_site,Persistent_Level:PersistentLevel.BP_DropPod2,BZG9DCNP1O24ZNRI1C3YMKQPW,crashed_drop_pod,BP_DropPod_C,-263.274,1290.475,77.809,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0076,crash_site,Persistent_Level:PersistentLevel.BP_DropPod_C_12,CC1J83F9RJZCCEG1SNWQXF4TP,crashed_drop_pod,BP_DropPod_C,2365.083,3122.364,99.712,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0077,crash_site,Persistent_Level:PersistentLevel.BP_DropPod16_4595,CI0BH8Q35CXW8GPKTYNYMBTF7,crashed_drop_pod,BP_DropPod_C,303.838,-2669.757,-9.874,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0078,crash_site,Persistent_Level:PersistentLevel.BP_DropPod4_7,CL7X2F1PBLXKQNAXHSSMOUSLS,crashed_drop_pod,BP_DropPod_C,983.063,1497.818,25.525,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
poi_502094_0079,crash_site,Persistent_Level:PersistentLevel.BP_DropPod7,DCN24CJTCWUDCBZUKVB3XD54X,crashed_drop_pod,BP_DropPod_C,2160.967,2.684,-15.929,++FactoryGame+rel-main-anniversary-2026-CL-502094,2c1ba76bf6aeb7593d53fb8278c48df9a639f7002d1cc09eeb4024fb67406337
