socket_id,source_object_id,source_class,source_kind,east_m,north_m,elevation_m,core_socket_id,source_game_build,source_sha256
BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,Persistent_Level:PersistentLevel.BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,BP_FrackingCore_C,fracking_core,-2615.721005,-747.049599,-13.445096,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore7,Persistent_Level:PersistentLevel.BP_FrackingCore7,BP_FrackingCore_C,fracking_core,2681.55625,-1127.975859,-1.730547,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore9,Persistent_Level:PersistentLevel.BP_FrackingCore9,BP_FrackingCore_C,fracking_core,-401.801328,79.11542,249.806621,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingCore_8,Persistent_Level:PersistentLevel.BP_FrackingCore_8,BP_FrackingCore_C,fracking_core,1283.1,-2567.59,2.69,,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite10,Persistent_Level:PersistentLevel.BP_FrackingSatellite10,BP_FrackingSatellite_C,fracking_satellite,2124.924062,-1380.869062,-1.260258,BP_FrackingCore2,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite100,Persistent_Level:PersistentLevel.BP_FrackingSatellite100,BP_FrackingSatellite_C,fracking_satellite,92.692188,-1902.017812,-104.408164,BP_FrackingCore15,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite101,Persistent_Level:PersistentLevel.BP_FrackingSatellite101,BP_FrackingSatellite_C,fracking_satellite,35.82625,-1870.82125,-103.050586,BP_FrackingCore15,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite102,Persistent_Level:PersistentLevel.BP_FrackingSatellite102,BP_FrackingSatellite_C,fracking_satellite,1856.937188,610.721797,54.317915,BP_FrackingCore11,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite103_8,Persistent_Level:PersistentLevel.BP_FrackingSatellite103_8,BP_FrackingSatellite_C,fracking_satellite,3144.0825,2929.416875,12.532937,BP_FrackingCore10,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite108,Persistent_Level:PersistentLevel.BP_FrackingSatellite108,BP_FrackingSatellite_C,fracking_satellite,-224.505469,-1717.142656,-0.278047,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite109,Persistent_Level:PersistentLevel.BP_FrackingSatellite109,BP_FrackingSatellite_C,fracking_satellite,-177.007812,-1748.767812,-0.708164,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite11,Persistent_Level:PersistentLevel.BP_FrackingSatellite11,BP_FrackingSatellite_C,fracking_satellite,2164.074062,-1394.999062,-2.120258,BP_FrackingCore2,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite110,Persistent_Level:PersistentLevel.BP_FrackingSatellite110,BP_FrackingSatellite_C,fracking_satellite,-160.874062,-1703.505938,3.51418,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite111,Persistent_Level:PersistentLevel.BP_FrackingSatellite111,BP_FrackingSatellite_C,fracking_satellite,-156.119668,-1727.103906,2.392143,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite112,Persistent_Level:PersistentLevel.BP_FrackingSatellite112,BP_FrackingSatellite_C,fracking_satellite,-234.067852,-1742.54375,-4.377422,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite113,Persistent_Level:PersistentLevel.BP_FrackingSatellite113,BP_FrackingSatellite_C,fracking_satellite,-204.514688,-1756.542812,-0.995586,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite114_7,Persistent_Level:PersistentLevel.BP_FrackingSatellite114_7,BP_FrackingSatellite_C,fracking_satellite,-1118.014688,-731.892812,31.204414,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite115,Persistent_Level:PersistentLevel.BP_FrackingSatellite115,BP_FrackingSatellite_C,fracking_satellite,-1118.148125,-711.212578,30.617578,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite116,Persistent_Level:PersistentLevel.BP_FrackingSatellite116,BP_FrackingSatellite_C,fracking_satellite,-1076.067812,-710.69375,29.122578,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite117,Persistent_Level:PersistentLevel.BP_FrackingSatellite117,BP_FrackingSatellite_C,fracking_satellite,-1046.924062,-733.555938,30.96418,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite118,Persistent_Level:PersistentLevel.BP_FrackingSatellite118,BP_FrackingSatellite_C,fracking_satellite,-1101.391562,-753.752188,31.964844,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite119,Persistent_Level:PersistentLevel.BP_FrackingSatellite119,BP_FrackingSatellite_C,fracking_satellite,-1042.007812,-709.767812,28.591836,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite12,Persistent_Level:PersistentLevel.BP_FrackingSatellite12,BP_FrackingSatellite_C,fracking_satellite,2181.694062,-1375.489062,-2.090258,BP_FrackingCore2,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite120,Persistent_Level:PersistentLevel.BP_FrackingSatellite120,BP_FrackingSatellite_C,fracking_satellite,-1084.784688,-775.999375,37.092578,BP_FrackingCore18,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite121,Persistent_Level:PersistentLevel.BP_FrackingSatellite121,BP_FrackingSatellite_C,fracking_satellite,-203.471445,-1707.874375,0.069914,BP_FrackingCore17,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite13,Persistent_Level:PersistentLevel.BP_FrackingSatellite13,BP_FrackingSatellite_C,fracking_satellite,2116.85875,-1331.60875,-2.473589,BP_FrackingCore2,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite14,Persistent_Level:PersistentLevel.BP_FrackingSatellite14,BP_FrackingSatellite_C,fracking_satellite,2252.41625,3098.133125,78.756401,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite15,Persistent_Level:PersistentLevel.BP_FrackingSatellite15,BP_FrackingSatellite_C,fracking_satellite,2217.852656,3083.46,82.444902,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite16,Persistent_Level:PersistentLevel.BP_FrackingSatellite16,BP_FrackingSatellite_C,fracking_satellite,2202.145312,3107.205938,78.797246,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite17,Persistent_Level:PersistentLevel.BP_FrackingSatellite17,BP_FrackingSatellite_C,fracking_satellite,2264.877812,3136.239688,81.609453,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite18_3,Persistent_Level:PersistentLevel.BP_FrackingSatellite18_3,BP_FrackingSatellite_C,fracking_satellite,1266.44,-2530.42,-3.72,BP_FrackingCore_8,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite19,Persistent_Level:PersistentLevel.BP_FrackingSatellite19,BP_FrackingSatellite_C,fracking_satellite,2212.635312,3122.565938,79.317246,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite2,Persistent_Level:PersistentLevel.BP_FrackingSatellite2,BP_FrackingSatellite_C,fracking_satellite,1251.04,-2564.75,7.34,BP_FrackingCore_8,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite20,Persistent_Level:PersistentLevel.BP_FrackingSatellite20,BP_FrackingSatellite_C,fracking_satellite,2239.813281,3140.086562,78.67124,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite21,Persistent_Level:PersistentLevel.BP_FrackingSatellite21,BP_FrackingSatellite_C,fracking_satellite,-2536.794375,1871.51625,-12.409805,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite22,Persistent_Level:PersistentLevel.BP_FrackingSatellite22,BP_FrackingSatellite_C,fracking_satellite,-2546.924219,1910.72625,-15.81981,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite23_5,Persistent_Level:PersistentLevel.BP_FrackingSatellite23_5,BP_FrackingSatellite_C,fracking_satellite,2268.51625,3114.233125,79.056401,BP_FrackingCore3,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite24,Persistent_Level:PersistentLevel.BP_FrackingSatellite24,BP_FrackingSatellite_C,fracking_satellite,-2519.581719,1915.658125,-17.410864,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite25,Persistent_Level:PersistentLevel.BP_FrackingSatellite25,BP_FrackingSatellite_C,fracking_satellite,-2498.993906,1903.812656,-17.395664,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite26,Persistent_Level:PersistentLevel.BP_FrackingSatellite26,BP_FrackingSatellite_C,fracking_satellite,-2494.493906,1882.162656,-17.395664,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite27,Persistent_Level:PersistentLevel.BP_FrackingSatellite27,BP_FrackingSatellite_C,fracking_satellite,-2509.367188,1846.791875,-14.571299,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite28,Persistent_Level:PersistentLevel.BP_FrackingSatellite28,BP_FrackingSatellite_C,fracking_satellite,-1476.287188,-1257.228125,153.158701,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite29,Persistent_Level:PersistentLevel.BP_FrackingSatellite29,BP_FrackingSatellite_C,fracking_satellite,-1443.417188,-1246.098125,153.878701,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite3,Persistent_Level:PersistentLevel.BP_FrackingSatellite3,BP_FrackingSatellite_C,fracking_satellite,1250.988672,-2543.214375,1.596513,BP_FrackingCore_8,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite30,Persistent_Level:PersistentLevel.BP_FrackingSatellite30,BP_FrackingSatellite_C,fracking_satellite,-1457.1525,-1194.420781,151.815361,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite31,Persistent_Level:PersistentLevel.BP_FrackingSatellite31,BP_FrackingSatellite_C,fracking_satellite,-1427.791875,-1202.431875,151.749141,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite32,Persistent_Level:PersistentLevel.BP_FrackingSatellite32,BP_FrackingSatellite_C,fracking_satellite,-1417.50375,-1219.977344,152.594336,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite33,Persistent_Level:PersistentLevel.BP_FrackingSatellite33,BP_FrackingSatellite_C,fracking_satellite,-1429.114375,-1184.02375,149.950195,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite34,Persistent_Level:PersistentLevel.BP_FrackingSatellite34,BP_FrackingSatellite_C,fracking_satellite,-1455.654375,-1260.28375,154.390195,BP_FrackingCore5,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite35,Persistent_Level:PersistentLevel.BP_FrackingSatellite35,BP_FrackingSatellite_C,fracking_satellite,879.167314,-1020.448701,101.779662,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite36,Persistent_Level:PersistentLevel.BP_FrackingSatellite36,BP_FrackingSatellite_C,fracking_satellite,816.389084,-1034.951749,101.836182,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite37,Persistent_Level:PersistentLevel.BP_FrackingSatellite37,BP_FrackingSatellite_C,fracking_satellite,887.342527,-1077.226686,99.918257,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite38,Persistent_Level:PersistentLevel.BP_FrackingSatellite38,BP_FrackingSatellite_C,fracking_satellite,830.939654,-1018.211587,102.164388,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite39,Persistent_Level:PersistentLevel.BP_FrackingSatellite39,BP_FrackingSatellite_C,fracking_satellite,879.904962,-1050.521155,102.093729,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite4,Persistent_Level:PersistentLevel.BP_FrackingSatellite4,BP_FrackingSatellite_C,fracking_satellite,1305.16,-2551.26,-2.94,BP_FrackingCore_8,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite40,Persistent_Level:PersistentLevel.BP_FrackingSatellite40,BP_FrackingSatellite_C,fracking_satellite,866.967473,-995.242878,100.575857,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite41,Persistent_Level:PersistentLevel.BP_FrackingSatellite41,BP_FrackingSatellite_C,fracking_satellite,839.882225,-1078.032624,101.038081,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite42,Persistent_Level:PersistentLevel.BP_FrackingSatellite42,BP_FrackingSatellite_C,fracking_satellite,846.613893,-992.027757,100.495845,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite43,Persistent_Level:PersistentLevel.BP_FrackingSatellite43,BP_FrackingSatellite_C,fracking_satellite,816.644674,-1066.6791,102.411657,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite44,Persistent_Level:PersistentLevel.BP_FrackingSatellite44,BP_FrackingSatellite_C,fracking_satellite,860.275655,-1094.511056,99.623173,BP_FrackingCore6,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite45,Persistent_Level:PersistentLevel.BP_FrackingSatellite45,BP_FrackingSatellite_C,fracking_satellite,2671.23125,-1151.563125,-1.013438,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite46,Persistent_Level:PersistentLevel.BP_FrackingSatellite46,BP_FrackingSatellite_C,fracking_satellite,2640.515625,-1122.807969,-0.664023,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite47,Persistent_Level:PersistentLevel.BP_FrackingSatellite47,BP_FrackingSatellite_C,fracking_satellite,2642.313125,-1145.184531,-0.777617,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite48,Persistent_Level:PersistentLevel.BP_FrackingSatellite48,BP_FrackingSatellite_C,fracking_satellite,2714.252812,-1115.041016,-1.025781,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite49,Persistent_Level:PersistentLevel.BP_FrackingSatellite49,BP_FrackingSatellite_C,fracking_satellite,2695.004062,-1155.875859,-0.832891,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite5,Persistent_Level:PersistentLevel.BP_FrackingSatellite5,BP_FrackingSatellite_C,fracking_satellite,1310.25,-2574.28,2.38,BP_FrackingCore_8,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite50,Persistent_Level:PersistentLevel.BP_FrackingSatellite50,BP_FrackingSatellite_C,fracking_satellite,2674.3925,-1103.493281,-0.911641,BP_FrackingCore7,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite51_1,Persistent_Level:PersistentLevel.BP_FrackingSatellite51_1,BP_FrackingSatellite_C,fracking_satellite,-2539.687188,1892.141875,-14.601299,BP_FrackingCore4,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite57,Persistent_Level:PersistentLevel.BP_FrackingSatellite57,BP_FrackingSatellite_C,fracking_satellite,-401.999102,43.04332,250.537969,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite58,Persistent_Level:PersistentLevel.BP_FrackingSatellite58,BP_FrackingSatellite_C,fracking_satellite,3138.905,2879.794688,12.123501,BP_FrackingCore10,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite59,Persistent_Level:PersistentLevel.BP_FrackingSatellite59,BP_FrackingSatellite_C,fracking_satellite,-437.588008,84.093965,251.388828,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite6,Persistent_Level:PersistentLevel.BP_FrackingSatellite6,BP_FrackingSatellite_C,fracking_satellite,2146.597031,-1379.935156,-2.250778,BP_FrackingCore2,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite60,Persistent_Level:PersistentLevel.BP_FrackingSatellite60,BP_FrackingSatellite_C,fracking_satellite,-417.764492,98.68376,251.421855,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61,Persistent_Level:PersistentLevel.BP_FrackingSatellite61,BP_FrackingSatellite_C,fracking_satellite,-389.568359,103.626836,253.250703,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_1933830510,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_1933830510,BP_FrackingSatellite_C,fracking_satellite,-2606.257674,-725.732231,-11.880452,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_2053713511,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D7DF01_2053713511,BP_FrackingSatellite_C,fracking_satellite,-2619.414642,-704.745078,-11.590599,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1587984689,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1587984689,BP_FrackingSatellite_C,fracking_satellite,-2643.727454,-760.594671,-12.965887,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1704280690,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1704280690,BP_FrackingSatellite_C,fracking_satellite,-2661.947414,-752.273697,-12.795224,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1999134691,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D8DF01_1999134691,BP_FrackingSatellite_C,fracking_satellite,-2633.417899,-723.598065,-13.536194,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite61_UAID_40B076DF2F79D9DF01_1230935868,Persistent_Level:PersistentLevel.BP_FrackingSatellite61_UAID_40B076DF2F79D9DF01_1230935868,BP_FrackingSatellite_C,fracking_satellite,-2653.782349,-724.933666,-13.422884,BP_FrackingCore6_UAID_40B076DF2F79D3DF01_1961476789,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite62,Persistent_Level:PersistentLevel.BP_FrackingSatellite62,BP_FrackingSatellite_C,fracking_satellite,-369.591328,78.337783,251.703457,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite63,Persistent_Level:PersistentLevel.BP_FrackingSatellite63,BP_FrackingSatellite_C,fracking_satellite,-432.38793,65.189111,250.536465,BP_FrackingCore9,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite64,Persistent_Level:PersistentLevel.BP_FrackingSatellite64,BP_FrackingSatellite_C,fracking_satellite,3142.775,2897.557812,12.678708,BP_FrackingCore10,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
BP_FrackingSatellite65,Persistent_Level:PersistentLevel.BP_FrackingSatellite65,BP_FrackingSatellite_C,fracking_satellite,3191.265938,2900.626562,12.284166,BP_FrackingCore10,CL-502094,1b6d2b740081eb56c0d77136aed0d330ea4696dee13d1075fc231574ee7552b0
